,article,ds,holiday_flg,y
3566,Fukuoka-ken Itoshima-shi Maebarunishi,2016-01-03,1,5
3567,Fukuoka-ken Itoshima-shi Maebarunishi,2016-01-04,0,1
3568,Fukuoka-ken Itoshima-shi Maebarunishi,2016-01-05,0,7
3569,Fukuoka-ken Itoshima-shi Maebarunishi,2016-01-06,0,7
3570,Fukuoka-ken Itoshima-shi Maebarunishi,2016-01-07,0,9
3571,Fukuoka-ken Itoshima-shi Maebarunishi,2016-01-08,0,9
3572,Fukuoka-ken Itoshima-shi Maebarunishi,2016-01-09,0,8
3573,Fukuoka-ken Itoshima-shi Maebarunishi,2016-01-10,0,23
3574,Fukuoka-ken Itoshima-shi Maebarunishi,2016-01-11,1,15
3575,Fukuoka-ken Itoshima-shi Maebarunishi,2016-01-12,0,10
3576,Fukuoka-ken Itoshima-shi Maebarunishi,2016-01-13,0,8
3577,Fukuoka-ken Itoshima-shi Maebarunishi,2016-01-15,0,15
3578,Fukuoka-ken Itoshima-shi Maebarunishi,2016-01-16,0,8
3579,Fukuoka-ken Itoshima-shi Maebarunishi,2016-01-17,0,17
3580,Fukuoka-ken Itoshima-shi Maebarunishi,2016-01-18,0,9
3581,Fukuoka-ken Itoshima-shi Maebarunishi,2016-01-19,0,4
3582,Fukuoka-ken Itoshima-shi Maebarunishi,2016-01-20,0,11
3583,Fukuoka-ken Itoshima-shi Maebarunishi,2016-01-22,0,8
3584,Fukuoka-ken Itoshima-shi Maebarunishi,2016-01-23,0,12
3585,Fukuoka-ken Itoshima-shi Maebarunishi,2016-01-26,0,5
3586,Fukuoka-ken Itoshima-shi Maebarunishi,2016-01-27,0,14
3587,Fukuoka-ken Itoshima-shi Maebarunishi,2016-01-29,0,6
3588,Fukuoka-ken Itoshima-shi Maebarunishi,2016-01-30,0,13
3589,Fukuoka-ken Itoshima-shi Maebarunishi,2016-01-31,0,38
3590,Fukuoka-ken Itoshima-shi Maebarunishi,2016-02-01,0,9
3591,Fukuoka-ken Itoshima-shi Maebarunishi,2016-02-02,0,11
3592,Fukuoka-ken Itoshima-shi Maebarunishi,2016-02-03,0,8
3593,Fukuoka-ken Itoshima-shi Maebarunishi,2016-02-05,0,6
3594,Fukuoka-ken Itoshima-shi Maebarunishi,2016-02-06,0,28
3595,Fukuoka-ken Itoshima-shi Maebarunishi,2016-02-07,0,25
3596,Fukuoka-ken Itoshima-shi Maebarunishi,2016-02-09,0,13
3597,Fukuoka-ken Itoshima-shi Maebarunishi,2016-02-10,0,12
3598,Fukuoka-ken Itoshima-shi Maebarunishi,2016-02-11,1,36
3599,Fukuoka-ken Itoshima-shi Maebarunishi,2016-02-12,0,4
3600,Fukuoka-ken Itoshima-shi Maebarunishi,2016-02-13,0,18
3601,Fukuoka-ken Itoshima-shi Maebarunishi,2016-02-14,0,29
3602,Fukuoka-ken Itoshima-shi Maebarunishi,2016-02-15,0,7
3603,Fukuoka-ken Itoshima-shi Maebarunishi,2016-02-16,0,13
3604,Fukuoka-ken Itoshima-shi Maebarunishi,2016-02-17,0,9
3605,Fukuoka-ken Itoshima-shi Maebarunishi,2016-02-19,0,13
3606,Fukuoka-ken Itoshima-shi Maebarunishi,2016-02-20,0,21
3607,Fukuoka-ken Itoshima-shi Maebarunishi,2016-02-21,0,39
3608,Fukuoka-ken Itoshima-shi Maebarunishi,2016-02-23,0,12
3609,Fukuoka-ken Itoshima-shi Maebarunishi,2016-02-24,0,11
3610,Fukuoka-ken Itoshima-shi Maebarunishi,2016-02-25,0,1
3611,Fukuoka-ken Itoshima-shi Maebarunishi,2016-02-26,0,8
3612,Fukuoka-ken Itoshima-shi Maebarunishi,2016-02-27,0,11
3613,Fukuoka-ken Itoshima-shi Maebarunishi,2016-02-28,0,25
3614,Fukuoka-ken Itoshima-shi Maebarunishi,2016-02-29,0,6
3615,Fukuoka-ken Itoshima-shi Maebarunishi,2016-03-02,0,7
3616,Fukuoka-ken Itoshima-shi Maebarunishi,2016-03-03,0,10
3617,Fukuoka-ken Itoshima-shi Maebarunishi,2016-03-04,0,15
