,visit_date,air_area_name,air_genre_name,air_store_id,visitors,latitude,longitude,day_of_week,holiday_flg
0,1/1/2016,Fukuoka-ken Fukuoka-shi Daimyō,Dining bar,air_fe22ef5a9cbef123,21,33.589215700000004,130.3928134,Friday,1
1,1/1/2016,Fukuoka-ken Fukuoka-shi Daimyō,Izakaya,air_05c325d315cc17f5,29,33.589215700000004,130.3928134,Friday,1
2,1/1/2016,Fukuoka-ken Fukuoka-shi Daimyō,Cafe/Sweets,air_c31472d14e29cee8,3,33.589215700000004,130.3928134,Friday,1
3,1/1/2016,Fukuoka-ken Fukuoka-shi Daimyō,Izakaya,air_cb7467aed805e7fe,33,33.589215700000004,130.3928134,Friday,1
59,1/1/2017,Fukuoka-ken Fukuoka-shi Daimyō,Yakiniku/Korean food,air_42d41eb58cad170e,22,33.589215700000004,130.3928134,Sunday,1
58,1/1/2017,Fukuoka-ken Fukuoka-shi Daimyō,Izakaya,air_cb7467aed805e7fe,51,33.589215700000004,130.3928134,Sunday,1
57,1/1/2017,Fukuoka-ken Fukuoka-shi Daimyō,Cafe/Sweets,air_dbf64f1ce38c7442,2,33.589215700000004,130.3928134,Sunday,1
55,1/1/2017,Fukuoka-ken Fukuoka-shi Daimyō,Bar/Cocktail,air_16cf0a73233896de,4,33.589215700000004,130.3928134,Sunday,1
54,1/1/2017,Fukuoka-ken Fukuoka-shi Daimyō,Cafe/Sweets,air_eca5e0064dc9314a,9,33.589215700000004,130.3928134,Sunday,1
56,1/1/2017,Fukuoka-ken Fukuoka-shi Daimyō,Cafe/Sweets,air_9e920b758503ef54,2,33.589215700000004,130.3928134,Sunday,1
52,1/1/2017,Fukuoka-ken Fukuoka-shi Daimyō,Cafe/Sweets,air_9828505fefc77d75,4,33.589215700000004,130.3928134,Sunday,1
51,1/1/2017,Fukuoka-ken Fukuoka-shi Daimyō,Cafe/Sweets,air_63b13c56b7201bd9,1,33.586993799999995,130.3948938,Sunday,1
50,1/1/2017,Fukuoka-ken Fukuoka-shi Daimyō,Yakiniku/Korean food,air_f180301886c21375,25,33.589215700000004,130.3928134,Sunday,1
49,1/1/2017,Fukuoka-ken Fukuoka-shi Daimyō,Cafe/Sweets,air_38746ffe9aa20c7e,2,33.589215700000004,130.3928134,Sunday,1
48,1/1/2017,Fukuoka-ken Fukuoka-shi Daimyō,Dining bar,air_fe22ef5a9cbef123,42,33.589215700000004,130.3928134,Sunday,1
53,1/1/2017,Fukuoka-ken Fukuoka-shi Daimyō,Izakaya,air_05c325d315cc17f5,20,33.589215700000004,130.3928134,Sunday,1
207,1/10/2016,Fukuoka-ken Fukuoka-shi Daimyō,Other,air_4b251b9f8373f1ae,15,33.589215700000004,130.3928134,Sunday,0
216,1/10/2016,Fukuoka-ken Fukuoka-shi Daimyō,Izakaya,air_cb7467aed805e7fe,55,33.589215700000004,130.3928134,Sunday,0
215,1/10/2016,Fukuoka-ken Fukuoka-shi Daimyō,Cafe/Sweets,air_6c91a28278a16f64,27,33.589215700000004,130.3928134,Sunday,0
214,1/10/2016,Fukuoka-ken Fukuoka-shi Daimyō,Bar/Cocktail,air_d138b593ebda55cc,13,33.589215700000004,130.3928134,Sunday,0
213,1/10/2016,Fukuoka-ken Fukuoka-shi Daimyō,Cafe/Sweets,air_c31472d14e29cee8,14,33.589215700000004,130.3928134,Sunday,0
212,1/10/2016,Fukuoka-ken Fukuoka-shi Daimyō,Cafe/Sweets,air_c9ed65554b6edffb,23,33.589215700000004,130.3928134,Sunday,0
211,1/10/2016,Fukuoka-ken Fukuoka-shi Daimyō,Bar/Cocktail,air_1ae94f514a0bce13,20,33.589215700000004,130.3928134,Sunday,0
210,1/10/2016,Fukuoka-ken Fukuoka-shi Daimyō,Creative cuisine,air_bdd32aa407c16335,10,33.589215700000004,130.3928134,Sunday,0
209,1/10/2016,Fukuoka-ken Fukuoka-shi Daimyō,Bar/Cocktail,air_16cf0a73233896de,5,33.589215700000004,130.3928134,Sunday,0
206,1/10/2016,Fukuoka-ken Fukuoka-shi Daimyō,Bar/Cocktail,air_c9f6de13be8b8f25,6,33.589215700000004,130.3928134,Sunday,0
208,1/10/2016,Fukuoka-ken Fukuoka-shi Daimyō,Izakaya,air_05c325d315cc17f5,6,33.589215700000004,130.3928134,Sunday,0
204,1/10/2016,Fukuoka-ken Fukuoka-shi Daimyō,Dining bar,air_901925b628677c2e,15,33.589215700000004,130.3928134,Sunday,0
205,1/10/2016,Fukuoka-ken Fukuoka-shi Daimyō,Bar/Cocktail,air_a1fe8c588c8d2f30,37,33.589215700000004,130.3928134,Sunday,0
196,1/10/2016,Fukuoka-ken Fukuoka-shi Daimyō,Dining bar,air_1e665503b8474c55,23,33.589215700000004,130.3928134,Sunday,0
197,1/10/2016,Fukuoka-ken Fukuoka-shi Daimyō,Dining bar,air_fe22ef5a9cbef123,37,33.589215700000004,130.3928134,Sunday,0
198,1/10/2016,Fukuoka-ken Fukuoka-shi Daimyō,Italian/French,air_638c35eb25e53eea,37,33.589215700000004,130.3928134,Sunday,0
199,1/10/2016,Fukuoka-ken Fukuoka-shi Daimyō,Italian/French,air_63a750d8b4b6a976,20,33.589215700000004,130.3928134,Sunday,0
195,1/10/2016,Fukuoka-ken Fukuoka-shi Daimyō,Italian/French,air_9438d67241c81314,29,33.589215700000004,130.3928134,Sunday,0
201,1/10/2016,Fukuoka-ken Fukuoka-shi Daimyō,Cafe/Sweets,air_eb120e6d384a17a8,42,33.589215700000004,130.3928134,Sunday,0
202,1/10/2016,Fukuoka-ken Fukuoka-shi Daimyō,Cafe/Sweets,air_63b13c56b7201bd9,58,33.586993799999995,130.3948938,Sunday,0
203,1/10/2016,Fukuoka-ken Fukuoka-shi Daimyō,Cafe/Sweets,air_e57dd6884595f60d,42,33.589215700000004,130.3928134,Sunday,0
200,1/10/2016,Fukuoka-ken Fukuoka-shi Daimyō,Bar/Cocktail,air_abf06fcca748dca5,34,33.589215700000004,130.3928134,Sunday,0
447,1/10/2017,Fukuoka-ken Fukuoka-shi Daimyō,Izakaya,air_05c325d315cc17f5,2,33.589215700000004,130.3928134,Tuesday,0
