,air_area_name,visitors,current_week
0,Tōkyō-to Minato-ku Shibakōen,2069,0
1,Tōkyō-to Minato-ku Shibakōen,2092,1
2,Tōkyō-to Minato-ku Shibakōen,2095,2
3,Tōkyō-to Minato-ku Shibakōen,1999,3
4,Tōkyō-to Minato-ku Shibakōen,1983,4
5,Tōkyō-to Minato-ku Shibakōen,2127,5
6,Tōkyō-to Minato-ku Shibakōen,2118,6
7,Tōkyō-to Minato-ku Shibakōen,2085,7
8,Tōkyō-to Minato-ku Shibakōen,2121,8
9,Tōkyō-to Minato-ku Shibakōen,2157,9
10,Tōkyō-to Minato-ku Shibakōen,2295,10
11,Tōkyō-to Minato-ku Shibakōen,2047,11
12,Tōkyō-to Minato-ku Shibakōen,2140,12
13,Tōkyō-to Minato-ku Shibakōen,2257,13
14,Tōkyō-to Minato-ku Shibakōen,2084,14
15,Tōkyō-to Minato-ku Shibakōen,1726,15
16,Tōkyō-to Minato-ku Shibakōen,1992,16
17,Tōkyō-to Minato-ku Shibakōen,2068,17
18,Tōkyō-to Minato-ku Shibakōen,2103,18
19,Tōkyō-to Minato-ku Shibakōen,1967,19
20,Tōkyō-to Minato-ku Shibakōen,2043,20
21,Tōkyō-to Minato-ku Shibakōen,2068,21
22,Tōkyō-to Minato-ku Shibakōen,2078,22
23,Tōkyō-to Minato-ku Shibakōen,4117,23
24,Tōkyō-to Minato-ku Shibakōen,6228,24
25,Tōkyō-to Minato-ku Shibakōen,5634,25
26,Tōkyō-to Minato-ku Shibakōen,5377,26
27,Tōkyō-to Minato-ku Shibakōen,6199,27
28,Tōkyō-to Minato-ku Shibakōen,6127,28
29,Tōkyō-to Minato-ku Shibakōen,5032,29
30,Tōkyō-to Minato-ku Shibakōen,4832,30
31,Tōkyō-to Minato-ku Shibakōen,5712,31
32,Tōkyō-to Minato-ku Shibakōen,5941,32
33,Tōkyō-to Minato-ku Shibakōen,6229,33
34,Tōkyō-to Minato-ku Shibakōen,5677,34
35,Tōkyō-to Minato-ku Shibakōen,5054,35
36,Tōkyō-to Minato-ku Shibakōen,6632,36
37,Tōkyō-to Minato-ku Shibakōen,5631,37
38,Tōkyō-to Minato-ku Shibakōen,5705,38
39,Tōkyō-to Minato-ku Shibakōen,6508,39
40,Tōkyō-to Minato-ku Shibakōen,7143,40
41,Tōkyō-to Minato-ku Shibakōen,5960,41
42,Tōkyō-to Minato-ku Shibakōen,6523,42
43,Tōkyō-to Minato-ku Shibakōen,6729,43
44,Tōkyō-to Minato-ku Shibakōen,5939,44
45,Tōkyō-to Minato-ku Shibakōen,6794,45
46,Tōkyō-to Minato-ku Shibakōen,7004,46
47,Tōkyō-to Minato-ku Shibakōen,7917,47
48,Tōkyō-to Minato-ku Shibakōen,7952,48
49,Tōkyō-to Minato-ku Shibakōen,5554,49
50,Tōkyō-to Minato-ku Shibakōen,3137,50
51,Tōkyō-to Minato-ku Shibakōen,5654,51
52,Tōkyō-to Minato-ku Shibakōen,6404,52
53,Tōkyō-to Shinagawa-ku Higashigotanda,175,0
54,Tōkyō-to Shinagawa-ku Higashigotanda,178,1
55,Tōkyō-to Shinagawa-ku Higashigotanda,121,2
56,Tōkyō-to Shinagawa-ku Higashigotanda,146,3
57,Tōkyō-to Shinagawa-ku Higashigotanda,175,4
58,Tōkyō-to Shinagawa-ku Higashigotanda,158,5
59,Tōkyō-to Shinagawa-ku Higashigotanda,174,6
60,Tōkyō-to Shinagawa-ku Higashigotanda,141,7
61,Tōkyō-to Shinagawa-ku Higashigotanda,160,8
62,Tōkyō-to Shinagawa-ku Higashigotanda,89,9
63,Tōkyō-to Shinagawa-ku Higashigotanda,131,10
64,Tōkyō-to Shinagawa-ku Higashigotanda,141,11
65,Tōkyō-to Shinagawa-ku Higashigotanda,139,12
66,Tōkyō-to Shinagawa-ku Higashigotanda,128,13
67,Tōkyō-to Shinagawa-ku Higashigotanda,161,14
68,Tōkyō-to Shinagawa-ku Higashigotanda,156,15
69,Tōkyō-to Shinagawa-ku Higashigotanda,127,16
70,Tōkyō-to Shinagawa-ku Higashigotanda,151,17
71,Tōkyō-to Shinagawa-ku Higashigotanda,136,18
72,Tōkyō-to Shinagawa-ku Higashigotanda,127,19
73,Tōkyō-to Shinagawa-ku Higashigotanda,121,20
74,Tōkyō-to Shinagawa-ku Higashigotanda,130,21
75,Tōkyō-to Shinagawa-ku Higashigotanda,135,22
76,Tōkyō-to Shinagawa-ku Higashigotanda,134,23
77,Tōkyō-to Shinagawa-ku Higashigotanda,146,24
78,Tōkyō-to Shinagawa-ku Higashigotanda,114,25
79,Tōkyō-to Shinagawa-ku Higashigotanda,91,26
80,Tōkyō-to Shinagawa-ku Higashigotanda,108,27
81,Tōkyō-to Shinagawa-ku Higashigotanda,105,28
82,Tōkyō-to Shinagawa-ku Higashigotanda,109,29
83,Tōkyō-to Shinagawa-ku Higashigotanda,89,30
