,air_area_name,genre_name,visitors,current_week,latitude,longitude
0,Tōkyō-to Minato-ku Shibakōen,Japanese food,2069,0,35.6580681,139.7515992
1,Tōkyō-to Minato-ku Shibakōen,Japanese food,2092,1,35.6580681,139.7515992
2,Tōkyō-to Minato-ku Shibakōen,Japanese food,2095,2,35.6580681,139.7515992
3,Tōkyō-to Minato-ku Shibakōen,Japanese food,1999,3,35.6580681,139.7515992
4,Tōkyō-to Minato-ku Shibakōen,Japanese food,1983,4,35.6580681,139.7515992
5,Tōkyō-to Minato-ku Shibakōen,Japanese food,2127,5,35.6580681,139.7515992
6,Tōkyō-to Minato-ku Shibakōen,Japanese food,2118,6,35.6580681,139.7515992
7,Tōkyō-to Minato-ku Shibakōen,Japanese food,2085,7,35.6580681,139.7515992
8,Tōkyō-to Minato-ku Shibakōen,Japanese food,2121,8,35.6580681,139.7515992
9,Tōkyō-to Minato-ku Shibakōen,Japanese food,2157,9,35.6580681,139.7515992
10,Tōkyō-to Minato-ku Shibakōen,Japanese food,2295,10,35.6580681,139.7515992
11,Tōkyō-to Minato-ku Shibakōen,Japanese food,2047,11,35.6580681,139.7515992
12,Tōkyō-to Minato-ku Shibakōen,Japanese food,2140,12,35.6580681,139.7515992
13,Tōkyō-to Minato-ku Shibakōen,Japanese food,2257,13,35.6580681,139.7515992
14,Tōkyō-to Minato-ku Shibakōen,Japanese food,2084,14,35.6580681,139.7515992
15,Tōkyō-to Minato-ku Shibakōen,Japanese food,1726,15,35.6580681,139.7515992
16,Tōkyō-to Minato-ku Shibakōen,Japanese food,1992,16,35.6580681,139.7515992
17,Tōkyō-to Minato-ku Shibakōen,Japanese food,2068,17,35.6580681,139.7515992
18,Tōkyō-to Minato-ku Shibakōen,Japanese food,2103,18,35.6580681,139.7515992
19,Tōkyō-to Minato-ku Shibakōen,Japanese food,1967,19,35.6580681,139.7515992
20,Tōkyō-to Minato-ku Shibakōen,Japanese food,2043,20,35.6580681,139.7515992
21,Tōkyō-to Minato-ku Shibakōen,Japanese food,2068,21,35.6580681,139.7515992
22,Tōkyō-to Minato-ku Shibakōen,Japanese food,2078,22,35.6580681,139.7515992
23,Tōkyō-to Minato-ku Shibakōen,Japanese food,4117,23,35.6580681,139.7515992
24,Tōkyō-to Minato-ku Shibakōen,Japanese food,6228,24,35.6580681,139.7515992
25,Tōkyō-to Minato-ku Shibakōen,Japanese food,5634,25,35.6580681,139.7515992
26,Tōkyō-to Minato-ku Shibakōen,Japanese food,5377,26,35.6580681,139.7515992
27,Tōkyō-to Minato-ku Shibakōen,Japanese food,6199,27,35.6580681,139.7515992
28,Tōkyō-to Minato-ku Shibakōen,Japanese food,6127,28,35.6580681,139.7515992
29,Tōkyō-to Minato-ku Shibakōen,Japanese food,5032,29,35.6580681,139.7515992
30,Tōkyō-to Minato-ku Shibakōen,Japanese food,4832,30,35.6580681,139.7515992
31,Tōkyō-to Minato-ku Shibakōen,Japanese food,5712,31,35.6580681,139.7515992
32,Tōkyō-to Minato-ku Shibakōen,Japanese food,5941,32,35.6580681,139.7515992
33,Tōkyō-to Minato-ku Shibakōen,Japanese food,6229,33,35.6580681,139.7515992
34,Tōkyō-to Minato-ku Shibakōen,Japanese food,5677,34,35.6580681,139.7515992
35,Tōkyō-to Minato-ku Shibakōen,Japanese food,5054,35,35.6580681,139.7515992
36,Tōkyō-to Minato-ku Shibakōen,Japanese food,6632,36,35.6580681,139.7515992
37,Tōkyō-to Minato-ku Shibakōen,Japanese food,5631,37,35.6580681,139.7515992
38,Tōkyō-to Minato-ku Shibakōen,Japanese food,5705,38,35.6580681,139.7515992
39,Tōkyō-to Minato-ku Shibakōen,Japanese food,6508,39,35.6580681,139.7515992
40,Tōkyō-to Minato-ku Shibakōen,Japanese food,7143,40,35.6580681,139.7515992
41,Tōkyō-to Minato-ku Shibakōen,Japanese food,5960,41,35.6580681,139.7515992
42,Tōkyō-to Minato-ku Shibakōen,Japanese food,6523,42,35.6580681,139.7515992
43,Tōkyō-to Minato-ku Shibakōen,Japanese food,6729,43,35.6580681,139.7515992
44,Tōkyō-to Minato-ku Shibakōen,Japanese food,5939,44,35.6580681,139.7515992
45,Tōkyō-to Minato-ku Shibakōen,Japanese food,6794,45,35.6580681,139.7515992
46,Tōkyō-to Minato-ku Shibakōen,Japanese food,7004,46,35.6580681,139.7515992
47,Tōkyō-to Minato-ku Shibakōen,Japanese food,7917,47,35.6580681,139.7515992
48,Tōkyō-to Minato-ku Shibakōen,Japanese food,7952,48,35.6580681,139.7515992
49,Tōkyō-to Minato-ku Shibakōen,Japanese food,5554,49,35.6580681,139.7515992
50,Tōkyō-to Minato-ku Shibakōen,Japanese food,3137,50,35.6580681,139.7515992
51,Tōkyō-to Minato-ku Shibakōen,Japanese food,5654,51,35.6580681,139.7515992
52,Tōkyō-to Minato-ku Shibakōen,Japanese food,6404,52,35.6580681,139.7515992
53,Tōkyō-to Shinagawa-ku Higashigotanda,Izakaya,175,0,35.62656829999999,139.7258581
54,Tōkyō-to Shinagawa-ku Higashigotanda,Izakaya,178,1,35.62656829999999,139.7258581
55,Tōkyō-to Shinagawa-ku Higashigotanda,Izakaya,121,2,35.62656829999999,139.7258581
56,Tōkyō-to Shinagawa-ku Higashigotanda,Izakaya,146,3,35.62656829999999,139.7258581
57,Tōkyō-to Shinagawa-ku Higashigotanda,Izakaya,175,4,35.62656829999999,139.7258581
58,Tōkyō-to Shinagawa-ku Higashigotanda,Izakaya,158,5,35.62656829999999,139.7258581
59,Tōkyō-to Shinagawa-ku Higashigotanda,Izakaya,174,6,35.62656829999999,139.7258581
60,Tōkyō-to Shinagawa-ku Higashigotanda,Izakaya,141,7,35.62656829999999,139.7258581
61,Tōkyō-to Shinagawa-ku Higashigotanda,Izakaya,160,8,35.62656829999999,139.7258581
62,Tōkyō-to Shinagawa-ku Higashigotanda,Izakaya,89,9,35.62656829999999,139.7258581
63,Tōkyō-to Shinagawa-ku Higashigotanda,Izakaya,131,10,35.62656829999999,139.7258581
64,Tōkyō-to Shinagawa-ku Higashigotanda,Izakaya,141,11,35.62656829999999,139.7258581
65,Tōkyō-to Shinagawa-ku Higashigotanda,Izakaya,139,12,35.62656829999999,139.7258581
66,Tōkyō-to Shinagawa-ku Higashigotanda,Izakaya,128,13,35.62656829999999,139.7258581
67,Tōkyō-to Shinagawa-ku Higashigotanda,Izakaya,161,14,35.62656829999999,139.7258581
68,Tōkyō-to Shinagawa-ku Higashigotanda,Izakaya,156,15,35.62656829999999,139.7258581
69,Tōkyō-to Shinagawa-ku Higashigotanda,Izakaya,127,16,35.62656829999999,139.7258581
70,Tōkyō-to Shinagawa-ku Higashigotanda,Izakaya,151,17,35.62656829999999,139.7258581
71,Tōkyō-to Shinagawa-ku Higashigotanda,Izakaya,136,18,35.62656829999999,139.7258581
72,Tōkyō-to Shinagawa-ku Higashigotanda,Izakaya,127,19,35.62656829999999,139.7258581
73,Tōkyō-to Shinagawa-ku Higashigotanda,Izakaya,121,20,35.62656829999999,139.7258581
74,Tōkyō-to Shinagawa-ku Higashigotanda,Izakaya,130,21,35.62656829999999,139.7258581
75,Tōkyō-to Shinagawa-ku Higashigotanda,Izakaya,135,22,35.62656829999999,139.7258581
76,Tōkyō-to Shinagawa-ku Higashigotanda,Izakaya,134,23,35.62656829999999,139.7258581
77,Tōkyō-to Shinagawa-ku Higashigotanda,Izakaya,146,24,35.62656829999999,139.7258581
78,Tōkyō-to Shinagawa-ku Higashigotanda,Izakaya,114,25,35.62656829999999,139.7258581
79,Tōkyō-to Shinagawa-ku Higashigotanda,Izakaya,91,26,35.62656829999999,139.7258581
80,Tōkyō-to Shinagawa-ku Higashigotanda,Izakaya,108,27,35.62656829999999,139.7258581
81,Tōkyō-to Shinagawa-ku Higashigotanda,Izakaya,105,28,35.62656829999999,139.7258581
82,Tōkyō-to Shinagawa-ku Higashigotanda,Izakaya,109,29,35.62656829999999,139.7258581
83,Tōkyō-to Shinagawa-ku Higashigotanda,Izakaya,89,30,35.62656829999999,139.7258581
84,Tōkyō-to Shinagawa-ku Higashigotanda,Izakaya,120,31,35.62656829999999,139.7258581
85,Tōkyō-to Shinagawa-ku Higashigotanda,Izakaya,108,32,35.62656829999999,139.7258581
86,Tōkyō-to Shinagawa-ku Higashigotanda,Izakaya,93,33,35.62656829999999,139.7258581
87,Tōkyō-to Shinagawa-ku Higashigotanda,Izakaya,123,34,35.62656829999999,139.7258581
88,Tōkyō-to Shinagawa-ku Higashigotanda,Izakaya,94,35,35.62656829999999,139.7258581
89,Tōkyō-to Shinagawa-ku Higashigotanda,Izakaya,127,36,35.62656829999999,139.7258581
90,Tōkyō-to Shinagawa-ku Higashigotanda,Izakaya,108,37,35.62656829999999,139.7258581
91,Tōkyō-to Shinagawa-ku Higashigotanda,Izakaya,97,38,35.62656829999999,139.7258581
92,Tōkyō-to Shinagawa-ku Higashigotanda,Izakaya,107,39,35.62656829999999,139.7258581
93,Tōkyō-to Shinagawa-ku Higashigotanda,Izakaya,121,40,35.62656829999999,139.7258581
94,Tōkyō-to Shinagawa-ku Higashigotanda,Izakaya,102,41,35.62656829999999,139.7258581
95,Tōkyō-to Shinagawa-ku Higashigotanda,Izakaya,72,42,35.62656829999999,139.7258581
96,Tōkyō-to Shinagawa-ku Higashigotanda,Izakaya,119,43,35.62656829999999,139.7258581
97,Tōkyō-to Shinagawa-ku Higashigotanda,Izakaya,115,44,35.62656829999999,139.7258581
98,Tōkyō-to Shinagawa-ku Higashigotanda,Izakaya,99,45,35.62656829999999,139.7258581
99,Tōkyō-to Shinagawa-ku Higashigotanda,Izakaya,124,46,35.62656829999999,139.7258581
100,Tōkyō-to Shinagawa-ku Higashigotanda,Izakaya,116,47,35.62656829999999,139.7258581
101,Tōkyō-to Shinagawa-ku Higashigotanda,Izakaya,109,48,35.62656829999999,139.7258581
102,Tōkyō-to Shinagawa-ku Higashigotanda,Izakaya,53,49,35.62656829999999,139.7258581
103,Tōkyō-to Shinagawa-ku Higashigotanda,Izakaya,44,50,35.62656829999999,139.7258581
104,Tōkyō-to Shinagawa-ku Higashigotanda,Izakaya,77,51,35.62656829999999,139.7258581
105,Tōkyō-to Shinagawa-ku Higashigotanda,Izakaya,77,52,35.62656829999999,139.7258581
106,Shizuoka-ken Hamamatsu-shi Motoshirochō,Italian/French,768,0,34.7108955,137.7259397
107,Shizuoka-ken Hamamatsu-shi Motoshirochō,Italian/French,835,1,34.7108955,137.7259397
108,Shizuoka-ken Hamamatsu-shi Motoshirochō,Italian/French,887,2,34.7108955,137.7259397
109,Shizuoka-ken Hamamatsu-shi Motoshirochō,Italian/French,990,3,34.7108955,137.7259397
110,Shizuoka-ken Hamamatsu-shi Motoshirochō,Italian/French,899,4,34.7108955,137.7259397
111,Shizuoka-ken Hamamatsu-shi Motoshirochō,Italian/French,924,5,34.7108955,137.7259397
112,Shizuoka-ken Hamamatsu-shi Motoshirochō,Italian/French,953,6,34.7108955,137.7259397
113,Shizuoka-ken Hamamatsu-shi Motoshirochō,Italian/French,887,7,34.7108955,137.7259397
114,Shizuoka-ken Hamamatsu-shi Motoshirochō,Italian/French,1253,8,34.7108955,137.7259397
115,Shizuoka-ken Hamamatsu-shi Motoshirochō,Italian/French,1144,9,34.7108955,137.7259397
116,Shizuoka-ken Hamamatsu-shi Motoshirochō,Italian/French,1024,10,34.7108955,137.7259397
117,Shizuoka-ken Hamamatsu-shi Motoshirochō,Italian/French,890,11,34.7108955,137.7259397
118,Shizuoka-ken Hamamatsu-shi Motoshirochō,Italian/French,907,12,34.7108955,137.7259397
119,Shizuoka-ken Hamamatsu-shi Motoshirochō,Italian/French,946,13,34.7108955,137.7259397
120,Shizuoka-ken Hamamatsu-shi Motoshirochō,Italian/French,1120,14,34.7108955,137.7259397
121,Shizuoka-ken Hamamatsu-shi Motoshirochō,Italian/French,1183,15,34.7108955,137.7259397
122,Shizuoka-ken Hamamatsu-shi Motoshirochō,Italian/French,898,16,34.7108955,137.7259397
123,Shizuoka-ken Hamamatsu-shi Motoshirochō,Italian/French,879,17,34.7108955,137.7259397
124,Shizuoka-ken Hamamatsu-shi Motoshirochō,Italian/French,892,18,34.7108955,137.7259397
125,Shizuoka-ken Hamamatsu-shi Motoshirochō,Italian/French,815,19,34.7108955,137.7259397
126,Shizuoka-ken Hamamatsu-shi Motoshirochō,Italian/French,905,20,34.7108955,137.7259397
127,Shizuoka-ken Hamamatsu-shi Motoshirochō,Italian/French,854,21,34.7108955,137.7259397
128,Shizuoka-ken Hamamatsu-shi Motoshirochō,Italian/French,927,22,34.7108955,137.7259397
129,Shizuoka-ken Hamamatsu-shi Motoshirochō,Italian/French,1387,23,34.7108955,137.7259397
130,Shizuoka-ken Hamamatsu-shi Motoshirochō,Italian/French,1677,24,34.7108955,137.7259397
131,Shizuoka-ken Hamamatsu-shi Motoshirochō,Italian/French,1741,25,34.7108955,137.7259397
132,Shizuoka-ken Hamamatsu-shi Motoshirochō,Italian/French,1722,26,34.7108955,137.7259397
133,Shizuoka-ken Hamamatsu-shi Motoshirochō,Italian/French,1622,27,34.7108955,137.7259397
134,Shizuoka-ken Hamamatsu-shi Motoshirochō,Italian/French,1607,28,34.7108955,137.7259397
135,Shizuoka-ken Hamamatsu-shi Motoshirochō,Italian/French,2061,29,34.7108955,137.7259397
136,Shizuoka-ken Hamamatsu-shi Motoshirochō,Italian/French,1866,30,34.7108955,137.7259397
137,Shizuoka-ken Hamamatsu-shi Motoshirochō,Italian/French,1611,31,34.7108955,137.7259397
138,Shizuoka-ken Hamamatsu-shi Motoshirochō,Italian/French,1627,32,34.7108955,137.7259397
139,Shizuoka-ken Hamamatsu-shi Motoshirochō,Italian/French,1836,33,34.7108955,137.7259397
140,Shizuoka-ken Hamamatsu-shi Motoshirochō,Italian/French,1899,34,34.7108955,137.7259397
141,Shizuoka-ken Hamamatsu-shi Motoshirochō,Italian/French,1816,35,34.7108955,137.7259397
142,Shizuoka-ken Hamamatsu-shi Motoshirochō,Italian/French,1615,36,34.7108955,137.7259397
