,Title,Date,Authors,Summary,Keywords,Text,Url
0,Rules for Instagram,2016-01-01,[],"Rules for Instagram Jan. 1, 2016Leila Khan and Lucy Nemerov, two eighth graders from Palo Alto, Calif., and their friends explain why they delete their Instagram photos.","['jan', 'graders', 'rules', 'instagram', 'khan', 'lucy', 'nemerov', 'photos', 'friends', 'palo']","Rules for Instagram Jan. 1, 2016







Leila Khan and Lucy Nemerov, two eighth graders from Palo Alto, Calif., and their friends explain why they delete their Instagram photos.",https://www.nytimes.com/audio/2016/01/01/technology/instagram-tween-reaction.html
1,Chris Mullin Sees Mixed Signs in St. John’s Loss,2016-01-01,['Dave Caldwell'],"With six seconds left in yet another loss, Chris Mullin, the St. John’s basketball legend turned first-year coach, sprang out of his seat and grimly trudged down the sideline to where Creighton Coach Greg McDermott stood.
The Red Storm dropped their Big East Conference opener Thursday afternoon to the Bluejays, 80-70, before 4,633 fans, but that was hardly a surprise.
St. John’s had been picked by Big East coaches before this season to finish last in the conference, which has 10 teams.
But Creighton was picked to finish only ninth, and Thursday’s game was on the St. John’s campus, where the young Red Storm (7-7) had experienced some success.
St. John’s led for all of 47 seconds, with its lack of experience becoming obvious later.","['creighton', 'sees', 'st', 'picked', 'finish', 'loss', 'mixed', 'mullin', 'johns', 'storm', 'red', 'seconds', 'chris', 'signs', 'east']","With six seconds left in yet another loss, Chris Mullin, the St. John’s basketball legend turned first-year coach, sprang out of his seat and grimly trudged down the sideline to where Creighton Coach Greg McDermott stood. The two shook hands as the final buzzer sounded.

The Red Storm dropped their Big East Conference opener Thursday afternoon to the Bluejays, 80-70, before 4,633 fans, but that was hardly a surprise. St. John’s had been picked by Big East coaches before this season to finish last in the conference, which has 10 teams.

But Creighton was picked to finish only ninth, and Thursday’s game was on the St. John’s campus, where the young Red Storm (7-7) had experienced some success. St. John’s led for all of 47 seconds, with its lack of experience becoming obvious later.

“There’s always that balance of seeing the improvement the guys are making, and also handling losing,” Mullin said. “That’s a tough battle.”",https://www.nytimes.com/2016/01/01/sports/chris-mullin-sees-mixed-signs-in-st-johns-loss.html
2,Opinion | Cutting the Cord and Feeling Good About It,2016-01-02,['Vikas Bajaj'],"Nearly three years ago, when I first thought about living without cable TV, it seemed impractical.
In early December, I canceled my “triple play” package of TV, telephone and Internet service with Time Warner Cable and switched to a stand-alone Internet access plan.
At the end of June, 83 percent of American households paid for TV service, down from 87 percent five years earlier, according to estimates by the Leichtman Research Group.
And as cable viewership has declined, so have the profits and the stock prices of some media companies, like Disney and Viacom that own cable channels.
Cable companies, which distribute channels to consumers over their wires, have fared better because they are still earning a lot of money selling Internet service.","['tv', 'amazon', 'service', 'cord', 'cable', 'watch', 'internet', 'good', 'package', 'channels', 'pay', 'netflix', 'feeling', 'opinion', 'cutting']","Nearly three years ago, when I first thought about living without cable TV, it seemed impractical. But given the proliferation of entertainment choices online, life without cable no longer seems impossible.

In early December, I canceled my “triple play” package of TV, telephone and Internet service with Time Warner Cable and switched to a stand-alone Internet access plan. That cut my monthly bill by about $100, without having any impact on how much time I spend in front of my television. Netflix and Amazon Prime have seen to that.

I’ve plowed through the Netflix drama “Sense8” and watched the 2014 movie “Interstellar” on Amazon. Next up is the Amazon series “The Man in the High Castle.” Later, when I run out of things I want to watch on those two services, I might drop them and subscribe to Hulu or HBO Now to watch the movies and TV shows in their libraries.

Most Americans still pay for a cable-TV package, but that’s gradually changing as consumers decide there’s no reason to pay for several hundred TV channels they don’t watch. At the end of June, 83 percent of American households paid for TV service, down from 87 percent five years earlier, according to estimates by the Leichtman Research Group. And as cable viewership has declined, so have the profits and the stock prices of some media companies, like Disney and Viacom that own cable channels. Cable companies, which distribute channels to consumers over their wires, have fared better because they are still earning a lot of money selling Internet service.",https://www.nytimes.com/2016/01/02/opinion/cutting-the-cord-and-feeling-good-about-it.html
3,U.S. Doesn’t Know How Many Foreign Visitors Overstay Visas,2016-01-02,['Ron Nixon'],"In early 2013, Janet Napolitano, then the secretary of Homeland Security, testified before Congress that the agency planned to issue a report on overstay rates by December 2013.
In 2004, lawmakers passed legislation that required Homeland Security officials to accelerate efforts to create an automated biometric entry and exit data system.
Congress repeated its demand for a biometric exit system in 2007 and set a deadline for 2009.
Despite the call by some lawmakers for an exit system, airports and the airline industry have balked because it would cost airlines $3 billion, according to a 2013 Homeland Security estimate.
The department issued regulations in 2008 requiring airports to collect biometric exit information, but carriers have largely ignored the regulation, and there have been no sanctions.","['visas', 'collect', 'foreign', 'system', 'security', 'information', 'doesnt', 'overstay', 'department', 'report', 'officials', 'exit', 'biometric', 'homeland', 'visitors', 'know']","In early 2013, Janet Napolitano, then the secretary of Homeland Security, testified before Congress that the agency planned to issue a report on overstay rates by December 2013. The agency did not follow through because officials said they did not have confidence in the quality of the data. Mr. Bersin said last month that the report would be issued in the next six months.

Many members of Congress and some law enforcement officials worry that terrorists could exploit the visa program because the United States does not routinely collect biometric information — fingerprints, iris scans and photographs that can be used for facial recognition — of people leaving the country. Nearly three dozen countries, including many in Europe, Asia and Africa, collect such information.

“U.S. airports and other entry and exit points were never designed with departure control in mind,” said Theresa Cardinal Brown, the director of Immigration Policy at the Bipartisan Policy Center in Washington and a Department of Homeland Security official under President George W. Bush. “If we want to do that it’s going to mean building a lot more infrastructure.”

The 9/11 Commission report called the establishment of an entry and exit biometric system “fundamental to intercepting terrorists” trying to enter the United States because it would allow law enforcement officials to determine if a traveler had overstayed a visa.

Still, efforts to build such a system to collect the information have stalled for decades. In 2004, lawmakers passed legislation that required Homeland Security officials to accelerate efforts to create an automated biometric entry and exit data system. Congress repeated its demand for a biometric exit system in 2007 and set a deadline for 2009. But the deadline passed, with the department putting into place only a handful of pilot programs.

Since then, the department has continued to struggle to meet this requirement. A 2013 report by the Government Accountability Office said the Department of Homeland Security had more than one million “unmatched” arrival records, meaning that those records could not be checked against other information showing that the individuals had left the country, but again the department could not offer a precise number.

Despite the call by some lawmakers for an exit system, airports and the airline industry have balked because it would cost airlines $3 billion, according to a 2013 Homeland Security estimate. The department issued regulations in 2008 requiring airports to collect biometric exit information, but carriers have largely ignored the regulation, and there have been no sanctions.",https://www.nytimes.com/2016/01/02/us/politics/us-doesnt-know-how-many-foreign-visitors-overstay-visas.html
4,Looking Beyond the Internet of Things,2016-01-02,['Quentin Hardy'],"SAN FRANCISCO — If you have sent email on Google or used Microsoft’s browser or databases, you have touched the technology handiwork of Adam Bosworth.
Mr. Bosworth, a tall and grizzled but still trim 60-year-old, is a Johnny Appleseed of sorts in the tech industry, with a penchant for being intimately involved in the creation of generations of widely used technology.
While it is never easy to predict what the next big thing will be, identifying what Mr. Bosworth is working on is always good for clues.
Right now, along with competitors at companies like Amazon and Google, he is building what some call a “data singularity.”Imagine if almost everything — streets, car bumpers, doors, hydroelectric dams — had a tiny sensor.
That is already happening through so-called Internet-of-Things projects run by big companies like General Electric and IBM.","['companies', 'trim', 'things', 'tiny', 'looking', 'widely', 'internet', 'google', 'touched', 'bosworth', 'used', 'big', 'working']","SAN FRANCISCO — If you have sent email on Google or used Microsoft’s browser or databases, you have touched the technology handiwork of Adam Bosworth.

Mr. Bosworth, a tall and grizzled but still trim 60-year-old, is a Johnny Appleseed of sorts in the tech industry, with a penchant for being intimately involved in the creation of generations of widely used technology.

While it is never easy to predict what the next big thing will be, identifying what Mr. Bosworth is working on is always good for clues. Right now, along with competitors at companies like Amazon and Google, he is building what some call a “data singularity.”

Imagine if almost everything — streets, car bumpers, doors, hydroelectric dams — had a tiny sensor. That is already happening through so-called Internet-of-Things projects run by big companies like General Electric and IBM.",https://www.nytimes.com/2016/01/02/technology/looking-beyond-the-internet-of-things.html
5,"At C.D.C., a Debate Behind Recommendations on Cellphone Risk",2016-01-02,['Danny Hakim'],"The study cited most often is Interphone, a multination review published by the I.A.R.C.
The median call time in the study was two to two and a half hours per month.
Dr. Cardis is now conducting a large government-funded study in Europe of the potential risks of cellphone use among children.
“If there’s a risk, it’s likely to be greater for exposures at younger ages,” she said, “simply because the skull is thinner and the ears are thinner in children than in adults.
Basically your phone is closer to your brain.”The C.D.C.’s internal email traffic shows a lengthy revision process for the agency’s recommendations.","['risk', 'study', 'interphone', 'thinner', 'cellphone', 'theres', 'debate', 'sure', 'children', 'iarc', 'cdc', 'phone', 'say', 'recommendations']","Given the state of the research, the industry has rejected health concerns. When Berkeley, Calif., passed an ordinance last spring requiring retailers to warn customers that radiation emitted by cellphones could be hazardous, CTIA-The Wireless Association, an industry trade group, sued. It called the ordinance “scientifically baseless and alarmist,” adding that the federal government had determined that “cellphones approved for sale in the United States, however worn, are safe for everyone.” The lawsuit is pending.

The study cited most often is Interphone, a multination review published by the I.A.R.C. in 2010. CTIA, in a statement, noted that Interphone found “over all, no increase in risk.” But Interphone did find “some indications of an increased risk of glioma,” a type of brain tumor, among the heaviest 10 percent of cellphone users, though “the researchers concluded that biases and errors limit the strength of these conclusions and prevent a causal interpretation.”

Dr. Elisabeth Cardis, Interphone’s principal investigator, said in an interview, “I can’t say for sure there’s an effect, but I can’t say for sure there’s no effect.”

However, the usage rates studied were far lower than those seen now, she said. The median call time in the study was two to two and a half hours per month. A Nielsen study in 2014 found that Americans used smartphones more than 34 hours a month, on average, though more often for games or social media than for communications.

Dr. Cardis is now conducting a large government-funded study in Europe of the potential risks of cellphone use among children. Nevertheless, she uses a mobile phone herself, as do her children — though she said it was prudent to use headsets or speakerphone, or to text, instead of holding the device next to your ear.

“If there’s a risk, it’s likely to be greater for exposures at younger ages,” she said, “simply because the skull is thinner and the ears are thinner in children than in adults. Basically your phone is closer to your brain.”

The C.D.C.’s internal email traffic shows a lengthy revision process for the agency’s recommendations. After the announcement by the I.A.R.C. in 2011, one agency official wrote that there was “outdated information on our current website.” Some changes were made within days, though they did not mention the I.A.R.C. determination.",https://www.nytimes.com/2016/01/02/technology/at-cdc-a-debate-behind-recommendations-on-cellphone-risk.html
6,"Natalie Cole, ‘Unforgettable’ Voice and Million-Selling Hitmaker, Dies at 65",2016-01-02,['Jon Pareles'],"Ms. Cole had undergone a kidney transplant in 2009 and had suffered from other ailments recently, forcing the cancellation of tour dates in November and December.
Ms. Cole had a light, supple, perpetually optimistic voice, full of syncopated turns and airborne swoops, drawing on both the nuances of jazz singing and the dynamics of gospel.
It brought her million-selling albums in the 1970s, 1980s and 1990s as she moved from the sound of her own generation to that of her parents.
“The biggest similarities between Ms. Cole and her father are in attitude.
To the decorous phrasing of a big band singer she brings a steady current of soul-music sassiness.”","['singing', 'york', 'working', 'ms', 'unforgettable', 'cole', 'hitmaker', '65', 'singer', 'pop', 'wrote', 'father', 'dies', 'voice', 'natalie', 'millionselling']","Natalie Cole, a buoyantly jazzy singer who became a million-selling, Grammy Award-winning pop hitmaker with her 1975 debut album and went on to even greater popularity when she followed the example of her father, Nat King Cole, in interpreting pre-rock pop standards, died on Thursday in Los Angeles. She was 65.

The cause was “ongoing health issues,” her family said. Ms. Cole had undergone a kidney transplant in 2009 and had suffered from other ailments recently, forcing the cancellation of tour dates in November and December.

Ms. Cole had a light, supple, perpetually optimistic voice, full of syncopated turns and airborne swoops, drawing on both the nuances of jazz singing and the dynamics of gospel. It brought her million-selling albums in the 1970s, 1980s and 1990s as she moved from the sound of her own generation to that of her parents.

“The biggest similarities between Ms. Cole and her father are in attitude. Instead of working toward catharsis, they aspire to a genteel elegance, balance and good feeling,” Stephen Holden wrote in The New York Times in 1993. “But where the ultimate direction of the father’s singing was an easy chair on a moonlit porch, his daughter’s tenser, more brittle singing evokes an urban, indoor setting. To the decorous phrasing of a big band singer she brings a steady current of soul-music sassiness.”",https://www.nytimes.com/2016/01/02/arts/music/natalie-cole-grammy-award-winning-singer-dies-at-65.html
7,Want to Keep New Year’s Resolutions? Consider the Consequences of Failing,2016-01-02,['Paul Sullivan'],"“As a gym owner, you’d have people come in and say, ‘I smoke two packs a day.
Last night, on New Year’s Eve we went out with a bang and I smoked six packs.
I’ve decided I’m quitting smoking.’ That lasts for a hot minute.”He used to counsel people to try cutting their smoking habit in half.
It cost $700 to enter the Ironman in Tempe, Ariz., and travel costs will be much more.
And then there is the gear needed to train and compete in events that encompass swimming, biking and running.","['resolutions', 'train', 'ironman', 'doing', 'committed', 'consider', 'went', 'packs', 'consequences', 'failing', 'smoking', 'cost', 'selfish', 'costs']","“Most people give themselves unattainable resolutions,” he said. “As a gym owner, you’d have people come in and say, ‘I smoke two packs a day. Last night, on New Year’s Eve we went out with a bang and I smoked six packs. I’ve decided I’m quitting smoking.’ That lasts for a hot minute.”

He used to counsel people to try cutting their smoking habit in half. And for himself, he has done something similar: Instead of going on a strict diet, he went to a doctor who uses data to show people how what they eat affects them medically.

When it comes to a fitness goal, the mind-set is slightly different. James O’Connor, 44, who lives in Far Hills, N.J., and works in asset management, said that after the wear and tear of decades of commuting and working, he had committed to doing his second Ironman triathlon in November 2016.

For him, there are certainly financial costs. It cost $700 to enter the Ironman in Tempe, Ariz., and travel costs will be much more. He plans to do two half-Ironman triathlons for training. And then there is the gear needed to train and compete in events that encompass swimming, biking and running. He estimated that cost at more than $1,000.

But those expenses are not Mr. O’Connor’s primary concern. What motivates him are the larger costs, in economic terms, of what he will miss this year. He got his work colleagues and his family to sign off on his participation since they will see him less. He also enlisted a friend to train with him and committed to raising money for charity so he will not be doing the Ironman solely for himself.

“The Ironman is a very selfish race,” he said. “It’s a huge amount of personal commitment. The more people who are part of it, the less selfish it seems.”

Keeping in mind what he is sacrificing to accomplish his resolution will, he said, keep him on track.",https://www.nytimes.com/2016/01/02/your-money/want-to-keep-new-years-resolutions-consider-the-consequences-of-failing.html
8,Opinion | The Dirty Truth About ‘Clean Diesel’,2016-01-03,['Taras Grescoe'],"Volkswagen has been punished with consumer opprobrium, a costly recall and plummeting sales.
Volkswagen played a leading role in convincing people to accept a technology that in many countries is causing a precipitous decline in air quality for millions of city-dwellers: the diesel engine.
Monitoring sites in European cities like London, Stuttgart, Munich, Paris, Milan and Rome have reported high levels of the nitrogen oxides and particulate matter, or soot, that help to create menacing smogs.
Recently, officials in Milan temporarily barred cars from the city; in Rome, too, persistent smog has forced the authorities to limit the use of private vehicles.
An air quality expert in Britain reported that much of it was “stale diesel” from traffic emissions generated in European cities.","['vehicles', 'rome', 'diesel', 'cars', 'quality', 'milan', 'paris', 'worlds', 'reported', 'clean', 'dirty', 'levels', 'opinion', 'truth']","MONTREAL — AS scandals go, it was a juicy one. Volkswagen, one of the world’s highest grossing automakers, persuaded consumers it had created a new generation of so-called clean diesel cars — until investigators discovered that defeat devices, which activated emissions controls only when the cars were tested, were concealing the fact that its vehicles emitted up to 40 times the permitted levels of pollutants during regular use.

Volkswagen has been punished with consumer opprobrium, a costly recall and plummeting sales. Yet the public outrage over the fraud obscures a much larger issue.

Volkswagen played a leading role in convincing people to accept a technology that in many countries is causing a precipitous decline in air quality for millions of city-dwellers: the diesel engine. Monitoring sites in European cities like London, Stuttgart, Munich, Paris, Milan and Rome have reported high levels of the nitrogen oxides and particulate matter, or soot, that help to create menacing smogs.

Recently, officials in Milan temporarily barred cars from the city; in Rome, too, persistent smog has forced the authorities to limit the use of private vehicles. Back in March, Paris was enveloped in a gray cloud of choking fumes that obscured the Eiffel Tower for hours and briefly earned the French capital the title of the world’s most polluted city, beating out even Beijing. An air quality expert in Britain reported that much of it was “stale diesel” from traffic emissions generated in European cities.",https://www.nytimes.com/2016/01/03/opinion/sunday/the-dirty-truth-about-clean-diesel.html
9,"Electrifying India, With the Sun and Small Loans",2016-01-03,['Max Bearak'],"Selco systems typically include a small panel connected to a battery that stores enough power to run one or more lights, phone chargers and, with higher wattage options, some small appliances.
Since its inception in 1995, Selco India has sold 318,400 solar home systems, and has provided power systems to almost 10,000 schools, hospitals and other institutions, almost all in Karnataka.
On his home turf in the villages of the Chikkamagaluru district in Karnataka, his salesmanship is put to the test.
For two decades, Selco has worked to persuade a network of banks to provide financing options to poor people who were typically seen as too risky.
Use of kerosene contributes to carbon emissions, but also to more personal and immediate hazards like skin irritation, respiratory problems and a significant fire risk.","['bank', 'kerosene', 'selco', 'electrifying', 'india', 'technology', 'persuade', 'systems', 'typically', 'small', 'loans', 'financing', 'solar']","Selco systems typically include a small panel connected to a battery that stores enough power to run one or more lights, phone chargers and, with higher wattage options, some small appliances. Since its inception in 1995, Selco India has sold 318,400 solar home systems, and has provided power systems to almost 10,000 schools, hospitals and other institutions, almost all in Karnataka.

“Solar home systems have been around for a long time by now, and they are a successful model,” said Robert Stoner, the director of the Tata Center for Technology and Design at M.I.T., which works directly with Selco and others, including the Indian government, on renewable technology development. “Their challenge is that they cost a lot — far more than the average person has, even a relatively well-off person.”

So if it is difficult to persuade a middle-class family in an industrialized country to invest in solar, how do you persuade a family that lives on a couple dollars a day?

Mr. Prasad is a consummate salesman who talks a mile a minute, wears his hair in a side-part and keeps three pens in his breast pocket. On his home turf in the villages of the Chikkamagaluru district in Karnataka, his salesmanship is put to the test. If he can manage to interest people in what is often an unfamiliar technology, he then pitches his potential customers on the more mysterious, but crucial idea of financing.

For two decades, Selco has worked to persuade a network of banks to provide financing options to poor people who were typically seen as too risky. As Mohan Hegde, the company’s operations manager, noted, “The idea behind Selco is to take a poor man to the bank and see if what he can afford to pay per month is acceptable to the lenders.”

The sales presentation, once it includes assurance of financing from a bank, is much more palatable to potential customers: Pay the bank monthly installments of roughly the same price you’d spend on kerosene, and in a few short years, you’ll own the system and your basic energy needs will be fulfilled by the sun free.

“When we say free, their ears prick up,” Mr. Prasad said.

Without financing, decentralized renewable energy could never compete in India with kerosene, which is cheap because the government subsidizes its sale at a cost of more than $5 billion a year. Use of kerosene contributes to carbon emissions, but also to more personal and immediate hazards like skin irritation, respiratory problems and a significant fire risk. Ultimately, it provides only dim, flickering lighting.",https://www.nytimes.com/2016/01/03/business/energy-environment/electrifying-india-with-the-sun-and-small-loans.html
