,article,ds,holiday_flg,y
1241,Fukuoka-ken Fukuoka-shi Momochi,2016-01-01,1,20
1242,Fukuoka-ken Fukuoka-shi Momochi,2016-01-02,1,11
1243,Fukuoka-ken Fukuoka-shi Momochi,2016-01-03,1,8
1244,Fukuoka-ken Fukuoka-shi Momochi,2016-01-04,0,46
1245,Fukuoka-ken Fukuoka-shi Momochi,2016-01-05,0,52
1246,Fukuoka-ken Fukuoka-shi Momochi,2016-01-06,0,61
1247,Fukuoka-ken Fukuoka-shi Momochi,2016-01-07,0,67
1248,Fukuoka-ken Fukuoka-shi Momochi,2016-01-08,0,69
1249,Fukuoka-ken Fukuoka-shi Momochi,2016-01-09,0,42
1250,Fukuoka-ken Fukuoka-shi Momochi,2016-01-10,0,14
1251,Fukuoka-ken Fukuoka-shi Momochi,2016-01-11,1,32
1252,Fukuoka-ken Fukuoka-shi Momochi,2016-01-12,0,57
1253,Fukuoka-ken Fukuoka-shi Momochi,2016-01-13,0,54
1254,Fukuoka-ken Fukuoka-shi Momochi,2016-01-14,0,54
1255,Fukuoka-ken Fukuoka-shi Momochi,2016-01-15,0,77
1256,Fukuoka-ken Fukuoka-shi Momochi,2016-01-16,0,58
1257,Fukuoka-ken Fukuoka-shi Momochi,2016-01-17,0,10
1258,Fukuoka-ken Fukuoka-shi Momochi,2016-01-18,0,64
1259,Fukuoka-ken Fukuoka-shi Momochi,2016-01-19,0,62
1260,Fukuoka-ken Fukuoka-shi Momochi,2016-01-20,0,81
1261,Fukuoka-ken Fukuoka-shi Momochi,2016-01-21,0,50
1262,Fukuoka-ken Fukuoka-shi Momochi,2016-01-22,0,53
1263,Fukuoka-ken Fukuoka-shi Momochi,2016-01-23,0,62
1264,Fukuoka-ken Fukuoka-shi Momochi,2016-01-24,0,5
1265,Fukuoka-ken Fukuoka-shi Momochi,2016-01-25,0,68
1266,Fukuoka-ken Fukuoka-shi Momochi,2016-01-26,0,52
1267,Fukuoka-ken Fukuoka-shi Momochi,2016-01-27,0,78
1268,Fukuoka-ken Fukuoka-shi Momochi,2016-01-28,0,62
1269,Fukuoka-ken Fukuoka-shi Momochi,2016-01-29,0,71
1270,Fukuoka-ken Fukuoka-shi Momochi,2016-01-30,0,66
1271,Fukuoka-ken Fukuoka-shi Momochi,2016-01-31,0,18
1272,Fukuoka-ken Fukuoka-shi Momochi,2016-02-01,0,50
1273,Fukuoka-ken Fukuoka-shi Momochi,2016-02-02,0,55
1274,Fukuoka-ken Fukuoka-shi Momochi,2016-02-03,0,69
1275,Fukuoka-ken Fukuoka-shi Momochi,2016-02-04,0,83
1276,Fukuoka-ken Fukuoka-shi Momochi,2016-02-05,0,92
1277,Fukuoka-ken Fukuoka-shi Momochi,2016-02-06,0,65
1278,Fukuoka-ken Fukuoka-shi Momochi,2016-02-07,0,11
1279,Fukuoka-ken Fukuoka-shi Momochi,2016-02-08,0,50
1280,Fukuoka-ken Fukuoka-shi Momochi,2016-02-09,0,71
1281,Fukuoka-ken Fukuoka-shi Momochi,2016-02-10,0,75
1282,Fukuoka-ken Fukuoka-shi Momochi,2016-02-11,1,64
1283,Fukuoka-ken Fukuoka-shi Momochi,2016-02-12,0,82
1284,Fukuoka-ken Fukuoka-shi Momochi,2016-02-13,0,45
1285,Fukuoka-ken Fukuoka-shi Momochi,2016-02-14,0,22
1286,Fukuoka-ken Fukuoka-shi Momochi,2016-02-15,0,59
1287,Fukuoka-ken Fukuoka-shi Momochi,2016-02-16,0,69
1288,Fukuoka-ken Fukuoka-shi Momochi,2016-02-17,0,65
1289,Fukuoka-ken Fukuoka-shi Momochi,2016-02-18,0,85
1290,Fukuoka-ken Fukuoka-shi Momochi,2016-02-19,0,64
1291,Fukuoka-ken Fukuoka-shi Momochi,2016-02-20,0,58
1292,Fukuoka-ken Fukuoka-shi Momochi,2016-02-21,0,13
1293,Fukuoka-ken Fukuoka-shi Momochi,2016-02-22,0,64
1294,Fukuoka-ken Fukuoka-shi Momochi,2016-02-23,0,56
1295,Fukuoka-ken Fukuoka-shi Momochi,2016-02-24,0,77
1296,Fukuoka-ken Fukuoka-shi Momochi,2016-02-25,0,70
1297,Fukuoka-ken Fukuoka-shi Momochi,2016-02-26,0,64
1298,Fukuoka-ken Fukuoka-shi Momochi,2016-02-27,0,74
1299,Fukuoka-ken Fukuoka-shi Momochi,2016-02-28,0,12
1300,Fukuoka-ken Fukuoka-shi Momochi,2016-02-29,0,72
1301,Fukuoka-ken Fukuoka-shi Momochi,2016-03-01,0,75
1302,Fukuoka-ken Fukuoka-shi Momochi,2016-03-02,0,79
