,visit_date,air_area_name,air_genre_name,air_store_id,visitors,latitude,longitude,day_of_week,holiday_flg,visit_date2
0,1/1/2016,Fukuoka-ken Fukuoka-shi Daimyō,Dining bar,air_fe22ef5a9cbef123,21,33.589215700000004,130.3928134,Friday,1,2016-01-01
1,1/1/2016,Fukuoka-ken Fukuoka-shi Daimyō,Izakaya,air_05c325d315cc17f5,29,33.589215700000004,130.3928134,Friday,1,2016-01-01
2,1/1/2016,Fukuoka-ken Fukuoka-shi Daimyō,Cafe/Sweets,air_c31472d14e29cee8,3,33.589215700000004,130.3928134,Friday,1,2016-01-01
3,1/1/2016,Fukuoka-ken Fukuoka-shi Daimyō,Izakaya,air_cb7467aed805e7fe,33,33.589215700000004,130.3928134,Friday,1,2016-01-01
9697,1/2/2016,Fukuoka-ken Fukuoka-shi Daimyō,Cafe/Sweets,air_63b13c56b7201bd9,12,33.586993799999995,130.3948938,Saturday,1,2016-01-02
9699,1/2/2016,Fukuoka-ken Fukuoka-shi Daimyō,Cafe/Sweets,air_6c91a28278a16f64,23,33.589215700000004,130.3928134,Saturday,1,2016-01-02
9698,1/2/2016,Fukuoka-ken Fukuoka-shi Daimyō,Izakaya,air_05c325d315cc17f5,21,33.589215700000004,130.3928134,Saturday,1,2016-01-02
9696,1/2/2016,Fukuoka-ken Fukuoka-shi Daimyō,Cafe/Sweets,air_eb120e6d384a17a8,64,33.589215700000004,130.3928134,Saturday,1,2016-01-02
9693,1/2/2016,Fukuoka-ken Fukuoka-shi Daimyō,Dining bar,air_fe22ef5a9cbef123,37,33.589215700000004,130.3928134,Saturday,1,2016-01-02
9692,1/2/2016,Fukuoka-ken Fukuoka-shi Daimyō,Dining bar,air_1e665503b8474c55,8,33.589215700000004,130.3928134,Saturday,1,2016-01-02
9695,1/2/2016,Fukuoka-ken Fukuoka-shi Daimyō,Italian/French,air_63a750d8b4b6a976,20,33.589215700000004,130.3928134,Saturday,1,2016-01-02
9694,1/2/2016,Fukuoka-ken Fukuoka-shi Daimyō,Italian/French,air_638c35eb25e53eea,34,33.589215700000004,130.3928134,Saturday,1,2016-01-02
19741,1/3/2016,Fukuoka-ken Fukuoka-shi Daimyō,Italian/French,air_638c35eb25e53eea,48,33.589215700000004,130.3928134,Sunday,1,2016-01-03
19743,1/3/2016,Fukuoka-ken Fukuoka-shi Daimyō,Cafe/Sweets,air_eb120e6d384a17a8,57,33.589215700000004,130.3928134,Sunday,1,2016-01-03
19739,1/3/2016,Fukuoka-ken Fukuoka-shi Daimyō,Dining bar,air_1e665503b8474c55,23,33.589215700000004,130.3928134,Sunday,1,2016-01-03
19740,1/3/2016,Fukuoka-ken Fukuoka-shi Daimyō,Dining bar,air_fe22ef5a9cbef123,14,33.589215700000004,130.3928134,Sunday,1,2016-01-03
19742,1/3/2016,Fukuoka-ken Fukuoka-shi Daimyō,Italian/French,air_63a750d8b4b6a976,13,33.589215700000004,130.3928134,Sunday,1,2016-01-03
19747,1/3/2016,Fukuoka-ken Fukuoka-shi Daimyō,Cafe/Sweets,air_27e991812b0d9c92,1,33.589215700000004,130.3928134,Sunday,1,2016-01-03
19744,1/3/2016,Fukuoka-ken Fukuoka-shi Daimyō,Cafe/Sweets,air_63b13c56b7201bd9,35,33.586993799999995,130.3948938,Sunday,1,2016-01-03
19746,1/3/2016,Fukuoka-ken Fukuoka-shi Daimyō,Izakaya,air_05c325d315cc17f5,24,33.589215700000004,130.3928134,Sunday,1,2016-01-03
19748,1/3/2016,Fukuoka-ken Fukuoka-shi Daimyō,Creative cuisine,air_bdd32aa407c16335,29,33.589215700000004,130.3928134,Sunday,1,2016-01-03
19745,1/3/2016,Fukuoka-ken Fukuoka-shi Daimyō,Dining bar,air_901925b628677c2e,10,33.589215700000004,130.3928134,Sunday,1,2016-01-03
19749,1/3/2016,Fukuoka-ken Fukuoka-shi Daimyō,Cafe/Sweets,air_6c91a28278a16f64,24,33.589215700000004,130.3928134,Sunday,1,2016-01-03
21946,1/4/2016,Fukuoka-ken Fukuoka-shi Daimyō,Cafe/Sweets,air_63b13c56b7201bd9,33,33.586993799999995,130.3948938,Monday,0,2016-01-04
21947,1/4/2016,Fukuoka-ken Fukuoka-shi Daimyō,Dining bar,air_901925b628677c2e,11,33.589215700000004,130.3928134,Monday,0,2016-01-04
21941,1/4/2016,Fukuoka-ken Fukuoka-shi Daimyō,Italian/French,air_9438d67241c81314,34,33.589215700000004,130.3928134,Monday,0,2016-01-04
21943,1/4/2016,Fukuoka-ken Fukuoka-shi Daimyō,Italian/French,air_638c35eb25e53eea,19,33.589215700000004,130.3928134,Monday,0,2016-01-04
21944,1/4/2016,Fukuoka-ken Fukuoka-shi Daimyō,Italian/French,air_63a750d8b4b6a976,10,33.589215700000004,130.3928134,Monday,0,2016-01-04
21942,1/4/2016,Fukuoka-ken Fukuoka-shi Daimyō,Dining bar,air_1e665503b8474c55,11,33.589215700000004,130.3928134,Monday,0,2016-01-04
