,area_name,encode_area
0,Fukuoka-ken Fukuoka-shi Daimyō,0
1,Fukuoka-ken Fukuoka-shi Hakata Ekimae,1
2,Fukuoka-ken Fukuoka-shi Momochi,2
3,Fukuoka-ken Fukuoka-shi Shiobaru,3
4,Fukuoka-ken Fukuoka-shi Takatori,4
5,Fukuoka-ken Fukuoka-shi Torikai,5
6,Fukuoka-ken Itoshima-shi Maebarunishi,6
7,Fukuoka-ken Kitakyūshū-shi None,7
8,Fukuoka-ken Kitakyūshū-shi Ōtemachi,8
9,Fukuoka-ken Kurume-shi Jōnanmachi,9
10,Fukuoka-ken Yame-shi Motomachi,10
11,Hiroshima-ken Fukuyama-shi Higashisakuramachi,11
12,Hiroshima-ken Hiroshima-shi Kokutaijimachi,12
13,Hiroshima-ken Hiroshima-shi Nagarekawachō,13
14,Hokkaidō Abashiri-shi Minami 6 Jōhigashi,14
15,Hokkaidō Asahikawa-shi 6 Jōdōri,15
16,Hokkaidō Sapporo-shi Kotoni 2 Jō,16
17,Hokkaidō Sapporo-shi Minami 3 Jōnishi,17
18,Hyōgo-ken Himeji-shi Yasuda,18
19,Hyōgo-ken Kakogawa-shi Kakogawachō Kitazaike,19
20,Hyōgo-ken Kōbe-shi Kumoidōri,20
21,Hyōgo-ken Kōbe-shi Motomachidōri,21
22,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,22
23,Hyōgo-ken Nishinomiya-shi Rokutanjichō,23
24,Hyōgo-ken Takarazuka-shi Tōyōchō,24
25,Miyagi-ken Sendai-shi Kamisugi,25
26,Niigata-ken Nagaoka-shi Ōtedōri,26
27,Niigata-ken Niigata-shi Gakkōchōdōri 1 Banchō,27
28,Shizuoka-ken Hamamatsu-shi Motoshirochō,28
29,Shizuoka-ken Numazu-shi Miyukichō,29
30,Shizuoka-ken Shizuoka-shi Ōtemachi,30
31,Tōkyō-to Bunkyō-ku Kasuga,31
32,Tōkyō-to Bunkyō-ku Sendagi,32
33,Tōkyō-to Chiyoda-ku Kudanminami,33
34,Tōkyō-to Chūō-ku Ginza,34
35,Tōkyō-to Chūō-ku Tsukiji,35
36,Tōkyō-to Itabashi-ku Itabashi,36
37,Tōkyō-to Katsushika-ku Tateishi,37
38,Tōkyō-to Kita-ku Ōjihonchō,38
39,Tōkyō-to Koganei-shi Honchō,39
40,Tōkyō-to Kōtō-ku Kameido,40
41,Tōkyō-to Kōtō-ku Tōyō,41
42,Tōkyō-to Machida-shi Morino,42
43,Tōkyō-to Meguro-ku Kamimeguro,43
44,Tōkyō-to Minato-ku Akasaka,44
45,Tōkyō-to Minato-ku Roppongi,45
46,Tōkyō-to Minato-ku Shibakōen,46
47,Tōkyō-to Nakano-ku Nakano,47
48,Tōkyō-to Nerima-ku Toyotamakita,48
49,Tōkyō-to Setagaya-ku Okusawa,49
50,Tōkyō-to Setagaya-ku Sangenjaya,50
51,Tōkyō-to Setagaya-ku Setagaya,51
52,Tōkyō-to Shibuya-ku Dōgenzaka,52
53,Tōkyō-to Shibuya-ku Jingūmae,53
54,Tōkyō-to Shibuya-ku Shibuya,54
55,Tōkyō-to Shinagawa-ku Higashigotanda,55
56,Tōkyō-to Shinagawa-ku Hiromachi,56
57,Tōkyō-to Shinjuku-ku Kabukichō,57
58,Tōkyō-to Shinjuku-ku Nishishinjuku,58
59,Tōkyō-to Suginami-ku Asagayaminami,59
60,Tōkyō-to Tachikawa-shi Izumichō,60
61,Tōkyō-to Taitō-ku Higashiueno,61
62,Tōkyō-to Taitō-ku Kuramae,62
63,Tōkyō-to Toshima-ku Higashiikebukuro,63
64,Tōkyō-to Toshima-ku Mejiro,64
65,Tōkyō-to Toshima-ku Minamiikebukuro,65
66,Tōkyō-to Toshima-ku Nishiikebukuro,66
67,Tōkyō-to Ōta-ku Kamata,67
68,Tōkyō-to Ōta-ku Kamiikedai,68
69,Ōsaka-fu Higashiōsaka-shi Aramotokita,69
70,Ōsaka-fu Neyagawa-shi Honmachi,70
71,Ōsaka-fu Sakai-shi Minamikawaramachi,71
72,Ōsaka-fu Ōsaka-shi Fuminosato,72
73,Ōsaka-fu Ōsaka-shi Kyōmachibori,73
74,Ōsaka-fu Ōsaka-shi Kyūtarōmachi,74
75,Ōsaka-fu Ōsaka-shi Nakanochō,75
76,Ōsaka-fu Ōsaka-shi Shinmachi,76
77,Ōsaka-fu Ōsaka-shi Ōgimachi,77
