,air_area_name,encode_air_area_name
0,Fukuoka-ken Fukuoka-shi Daimyō,0
1,Fukuoka-ken Fukuoka-shi Hakata Ekimae,1
2,Fukuoka-ken Fukuoka-shi Momochi,2
3,Fukuoka-ken Fukuoka-shi Shiobaru,3
4,Fukuoka-ken Fukuoka-shi Takatori,4
5,Fukuoka-ken Fukuoka-shi Torikai,5
6,Fukuoka-ken Itoshima-shi Maebarunishi,6
7,Fukuoka-ken Kitakyūshū-shi None,7
8,Fukuoka-ken Kitakyūshū-shi Ōtemachi,8
9,Fukuoka-ken Kurume-shi Jōnanmachi,9
10,Fukuoka-ken Yame-shi Motomachi,10
11,Hiroshima-ken Fukuyama-shi Higashisakuramachi,11
12,Hiroshima-ken Hiroshima-shi Kokutaijimachi,12
13,Hiroshima-ken Hiroshima-shi Nagarekawachō,13
14,Hokkaidō Abashiri-shi Minami 6 Jōhigashi,14
15,Hokkaidō Asahikawa-shi 6 Jōdōri,15
16,Hokkaidō Sapporo-shi Kotoni 2 Jō,16
17,Hokkaidō Sapporo-shi Minami 3 Jōnishi,17
18,Hyōgo-ken Himeji-shi Yasuda,18
19,Hyōgo-ken Kakogawa-shi Kakogawachō Kitazaike,19
20,Hyōgo-ken Kōbe-shi Kumoidōri,20
21,Hyōgo-ken Kōbe-shi Motomachidōri,21
22,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,22
23,Hyōgo-ken Nishinomiya-shi Rokutanjichō,23
24,Hyōgo-ken Takarazuka-shi Tōyōchō,24
25,Miyagi-ken Sendai-shi Kamisugi,25
26,Niigata-ken Nagaoka-shi Ōtedōri,26
27,Niigata-ken Niigata-shi Gakkōchōdōri 1 Banchō,27
28,Shizuoka-ken Hamamatsu-shi Motoshirochō,28
29,Shizuoka-ken Numazu-shi Miyukichō,29
30,Shizuoka-ken Shizuoka-shi Ōtemachi,30
31,Tōkyō-to Bunkyō-ku Kasuga,31
32,Tōkyō-to Bunkyō-ku Sendagi,32
