,current_week,day_of_week,visitors,encode_air_area_name
0,0,5,435,0
1,0,5,99,1
2,0,5,53,2
3,0,5,85,3
4,0,5,14,4
5,0,5,65,5
6,0,5,8,6
7,0,5,79,7
8,0,5,61,8
9,0,5,72,9
10,0,5,25,10
11,0,5,53,11
12,0,5,287,12
13,0,5,9,13
14,0,5,91,14
15,0,5,70,15
16,0,5,40,16
17,0,5,24,17
18,0,5,39,18
19,0,5,71,19
20,0,5,169,20
21,0,5,31,21
22,0,5,69,22
23,0,5,60,23
24,0,5,55,24
25,0,5,267,25
26,0,5,14,26
27,0,5,54,27
28,0,5,123,28
29,0,5,72,29
30,0,5,17,30
31,0,5,40,31
32,0,5,12,32
33,0,5,202,33
34,0,5,160,34
35,0,5,257,35
36,0,5,104,36
37,0,5,23,37
38,0,5,18,38
39,0,5,35,39
40,0,5,49,40
41,0,5,100,41
42,0,5,23,42
43,0,5,94,43
44,0,5,78,44
45,0,5,8,45
46,0,5,358,46
47,0,5,10,47
48,0,5,44,48
49,0,5,13,49
50,0,5,33,50
51,0,5,132,51
52,0,5,4,52
53,0,5,45,53
54,0,5,675,54
55,0,5,53,55
56,0,5,38,56
57,0,5,314,57
58,0,5,27,58
59,0,5,206,59
60,0,5,5,60
61,0,5,143,61
62,0,5,24,62
63,0,5,7,63
64,0,5,46,64
65,0,5,103,65
66,0,5,9,66
67,0,5,68,67
68,0,5,11,68
69,0,5,6,69
70,0,5,9,70
71,0,5,4,71
72,0,5,46,72
73,0,5,18,73
74,0,5,209,74
75,0,5,18,75
76,0,5,93,76
77,0,5,192,77
78,0,1,341,0
79,0,1,146,1
80,0,1,132,2
81,0,1,94,3
82,0,1,37,4
83,0,1,107,5
84,0,1,9,6
85,0,1,29,7
86,0,1,35,8
87,0,1,45,9
88,0,1,74,11
89,0,1,506,12
90,0,1,20,13
91,0,1,93,14
92,0,1,100,15
93,0,1,9,16
94,0,1,53,17
95,0,1,15,19
96,0,1,149,20
97,0,1,18,21
98,0,1,104,22
99,0,1,107,23
100,0,1,100,24
101,0,1,294,25
102,0,1,9,26
103,0,1,22,27
104,0,1,158,28
105,0,1,32,30
106,0,1,8,31
107,0,1,273,33
108,0,1,118,34
109,0,1,248,35
110,0,1,107,36
111,0,1,35,37
112,0,1,36,39
113,0,1,64,40
114,0,1,62,41
115,0,1,53,42
116,0,1,115,43
117,0,1,80,44
118,0,1,2,45
119,0,1,322,46
120,0,1,15,47
121,0,1,68,48
122,0,1,16,49
123,0,1,53,50
124,0,1,144,51
125,0,1,2,52
126,0,1,52,53
127,0,1,432,54
128,0,1,52,56
129,0,1,550,57
130,0,1,35,58
131,0,1,195,59
132,0,1,146,61
133,0,1,26,62
134,0,1,14,63
135,0,1,103,65
136,0,1,20,66
137,0,1,59,67
138,0,1,10,69
139,0,1,16,70
140,0,1,5,71
141,0,1,85,72
142,0,1,20,73
143,0,1,277,74
144,0,1,1,75
145,0,1,113,76
146,0,1,211,77
147,0,6,480,0
148,0,6,87,1
149,0,6,62,2
150,0,6,55,3
151,0,6,58,4
152,0,6,102,5
153,0,6,12,6
154,0,6,42,7
155,0,6,60,8
156,0,6,67,9
157,0,6,29,10
158,0,6,73,11
159,0,6,323,12
160,0,6,23,13
161,0,6,61,14
162,0,6,245,15
163,0,6,47,16
164,0,6,43,17
165,0,6,118,18
166,0,6,70,19
167,0,6,187,20
168,0,6,37,21
169,0,6,119,22
170,0,6,123,23
171,0,6,64,24
172,0,6,255,25
173,0,6,81,27
174,0,6,141,28
175,0,6,106,29
176,0,6,23,31
177,0,6,8,32
178,0,6,92,33
179,0,6,79,34
180,0,6,164,35
181,0,6,55,36
182,0,6,41,37
183,0,6,30,38
184,0,6,65,39
185,0,6,61,40
186,0,6,29,41
187,0,6,39,42
188,0,6,118,43
189,0,6,67,44
190,0,6,14,45
191,0,6,240,46
192,0,6,11,47
193,0,6,40,48
194,0,6,23,49
195,0,6,33,50
196,0,6,232,51
197,0,6,5,52
198,0,6,47,53
199,0,6,504,54
200,0,6,33,55
201,0,6,22,56
202,0,6,515,57
203,0,6,9,58
204,0,6,223,59
205,0,6,10,60
206,0,6,156,61
207,0,6,30,62
208,0,6,30,63
209,0,6,34,64
210,0,6,130,65
211,0,6,9,66
212,0,6,29,67
213,0,6,21,68
214,0,6,19,69
215,0,6,21,70
216,0,6,55,71
217,0,6,35,72
218,0,6,17,73
219,0,6,286,74
220,0,6,33,75
221,0,6,108,76
222,0,6,251,77
223,0,7,200,0
224,0,7,4,1
225,0,7,5,2
226,0,7,15,3
227,0,7,18,4
228,0,7,31,5
229,0,7,17,8
230,0,7,51,9
231,0,7,6,10
232,0,7,46,11
233,0,7,115,12
234,0,7,8,13
235,0,7,68,14
236,0,7,6,15
237,0,7,30,16
238,0,7,28,17
239,0,7,32,18
240,0,7,84,19
241,0,7,83,20
242,0,7,8,21
243,0,7,64,22
244,0,7,559,23
245,0,7,48,24
246,0,7,125,25
247,0,7,6,27
248,0,7,178,28
249,0,7,97,29
250,0,7,109,30
251,0,7,21,31
252,0,7,11,32
253,0,7,56,33
254,0,7,21,34
255,0,7,23,35
256,0,7,15,36
257,0,7,46,37
258,0,7,41,38
259,0,7,32,39
260,0,7,46,40
261,0,7,27,41
262,0,7,44,42
263,0,7,156,43
264,0,7,148,46
265,0,7,16,47
266,0,7,44,48
267,0,7,28,49
268,0,7,189,51
269,0,7,14,52
270,0,7,121,53
271,0,7,330,54
272,0,7,4,55
273,0,7,224,57
274,0,7,20,58
275,0,7,253,59
276,0,7,43,60
277,0,7,73,61
278,0,7,9,63
279,0,7,39,64
280,0,7,65,65
281,0,7,3,66
282,0,7,15,67
283,0,7,25,68
284,0,7,22,69
285,0,7,7,70
286,0,7,70,71
287,0,7,21,72
288,0,7,10,73
289,0,7,143,74
290,0,7,12,75
291,0,7,86,76
292,0,7,122,77
293,0,4,333,0
294,0,4,96,1
295,0,4,50,2
296,0,4,47,3
297,0,4,29,4
298,0,4,53,5
299,0,4,11,7
300,0,4,20,8
301,0,4,22,9
302,0,4,20,10
303,0,4,50,11
304,0,4,281,12
305,0,4,64,14
306,0,4,22,15
307,0,4,16,16
308,0,4,20,17
309,0,4,51,18
310,0,4,43,19
311,0,4,72,20
312,0,4,24,21
313,0,4,67,22
314,0,4,64,23
315,0,4,43,24
316,0,4,227,25
317,0,4,2,26
318,0,4,52,27
319,0,4,48,28
320,0,4,66,29
321,0,4,23,30
322,0,4,13,31
323,0,4,10,32
324,0,4,171,33
325,0,4,146,34
326,0,4,270,35
327,0,4,66,36
328,0,4,20,37
329,0,4,17,38
330,0,4,38,39
331,0,4,26,40
332,0,4,41,41
333,0,4,18,42
334,0,4,61,43
335,0,4,54,44
336,0,4,12,45
337,0,4,318,46
338,0,4,9,47
339,0,4,33,48
340,0,4,1,49
341,0,4,24,50
342,0,4,163,51
343,0,4,2,52
344,0,4,28,53
345,0,4,423,54
346,0,4,37,55
347,0,4,46,56
348,0,4,293,57
349,0,4,11,58
350,0,4,158,59
351,0,4,29,60
352,0,4,130,61
353,0,4,26,62
354,0,4,12,63
355,0,4,46,64
356,0,4,81,65
357,0,4,15,66
358,0,4,34,67
359,0,4,4,68
360,0,4,9,69
361,0,4,19,70
362,0,4,18,71
363,0,4,73,72
364,0,4,14,73
365,0,4,175,74
366,0,4,13,75
367,0,4,77,76
368,0,4,122,77
369,0,2,257,0
370,0,2,101,1
371,0,2,62,2
372,0,2,41,3
373,0,2,73,5
374,0,2,4,6
375,0,2,6,7
376,0,2,40,8
377,0,2,20,9
378,0,2,7,10
379,0,2,49,11
380,0,2,191,12
381,0,2,2,13
382,0,2,2,14
383,0,2,36,15
384,0,2,15,17
385,0,2,22,18
386,0,2,42,19
387,0,2,67,20
388,0,2,19,21
389,0,2,93,22
390,0,2,30,23
391,0,2,49,24
392,0,2,136,25
393,0,2,15,26
394,0,2,33,27
395,0,2,54,28
396,0,2,10,29
397,0,2,12,31
398,0,2,14,32
399,0,2,139,33
400,0,2,136,34
401,0,2,192,35
402,0,2,77,36
403,0,2,30,37
404,0,2,15,38
405,0,2,32,39
406,0,2,35,40
407,0,2,32,41
408,0,2,6,42
409,0,2,91,43
410,0,2,60,44
411,0,2,8,45
412,0,2,304,46
413,0,2,6,47
414,0,2,51,48
415,0,2,13,49
416,0,2,30,50
417,0,2,110,51
418,0,2,8,52
419,0,2,41,53
420,0,2,323,54
421,0,2,22,55
422,0,2,40,56
423,0,2,276,57
424,0,2,28,58
425,0,2,130,59
426,0,2,17,60
427,0,2,76,61
428,0,2,18,62
429,0,2,5,63
430,0,2,29,64
431,0,2,73,65
432,0,2,4,66
433,0,2,39,67
434,0,2,11,68
435,0,2,14,69
436,0,2,9,70
437,0,2,5,71
438,0,2,13,72
439,0,2,111,74
440,0,2,14,75
441,0,2,64,76
442,0,2,95,77
443,0,3,370,0
444,0,3,73,1
445,0,3,81,2
446,0,3,60,3
447,0,3,24,4
448,0,3,21,5
449,0,3,11,6
450,0,3,15,7
451,0,3,32,8
452,0,3,26,9
453,0,3,30,10
454,0,3,42,11
455,0,3,209,12
456,0,3,2,13
457,0,3,49,15
458,0,3,26,16
459,0,3,9,17
460,0,3,40,18
461,0,3,38,19
462,0,3,70,20
463,0,3,28,21
464,0,3,70,22
465,0,3,32,23
466,0,3,29,24
467,0,3,192,25
468,0,3,11,26
469,0,3,45,27
470,0,3,66,28
471,0,3,87,29
472,0,3,36,30
473,0,3,18,31
474,0,3,4,32
475,0,3,195,33
476,0,3,131,34
477,0,3,204,35
478,0,3,62,36
479,0,3,1,37
480,0,3,21,38
481,0,3,27,39
482,0,3,49,40
483,0,3,52,41
484,0,3,37,42
485,0,3,35,43
486,0,3,48,44
487,0,3,11,45
488,0,3,379,46
489,0,3,15,47
490,0,3,14,48
491,0,3,31,50
492,0,3,98,51
493,0,3,1,52
494,0,3,47,53
495,0,3,271,54
496,0,3,26,55
497,0,3,46,56
498,0,3,274,57
499,0,3,24,58
500,0,3,87,59
501,0,3,12,60
502,0,3,157,61
503,0,3,20,62
504,0,3,7,63
505,0,3,28,64
506,0,3,78,65
507,0,3,11,66
508,0,3,29,67
509,0,3,16,68
510,0,3,9,69
511,0,3,5,70
512,0,3,16,71
513,0,3,7,72
514,0,3,11,73
515,0,3,118,74
516,0,3,20,75
517,0,3,36,76
518,0,3,135,77
519,1,5,413,0
520,1,5,124,1
521,1,5,71,2
522,1,5,43,3
523,1,5,22,4
524,1,5,84,5
525,1,5,6,6
526,1,5,19,7
527,1,5,29,8
528,1,5,89,9
529,1,5,28,10
530,1,5,56,11
531,1,5,288,12
532,1,5,12,13
533,1,5,44,14
534,1,5,75,15
535,1,5,24,16
536,1,5,47,17
537,1,5,16,18
538,1,5,71,19
539,1,5,126,20
540,1,5,30,21
541,1,5,67,22
542,1,5,69,23
543,1,5,42,24
544,1,5,305,25
545,1,5,3,26
546,1,5,65,27
547,1,5,94,28
548,1,5,62,29
549,1,5,51,30
550,1,5,20,31
551,1,5,15,32
552,1,5,209,33
553,1,5,166,34
554,1,5,236,35
555,1,5,49,36
556,1,5,33,37
557,1,5,18,38
558,1,5,31,39
559,1,5,44,40
560,1,5,73,41
561,1,5,40,42
562,1,5,151,43
563,1,5,78,44
564,1,5,7,45
565,1,5,280,46
566,1,5,6,47
567,1,5,53,48
568,1,5,13,49
569,1,5,27,50
570,1,5,145,51
571,1,5,2,52
572,1,5,13,53
573,1,5,340,54
574,1,5,63,55
575,1,5,49,56
576,1,5,377,57
577,1,5,26,58
578,1,5,164,59
579,1,5,15,60
580,1,5,113,61
581,1,5,15,62
582,1,5,10,63
583,1,5,38,64
584,1,5,89,65
585,1,5,10,66
586,1,5,39,67
587,1,5,25,68
588,1,5,16,69
589,1,5,13,70
590,1,5,10,71
591,1,5,41,72
592,1,5,11,73
593,1,5,157,74
594,1,5,25,75
595,1,5,55,76
596,1,5,165,77
597,1,1,480,0
598,1,1,168,1
599,1,1,118,2
600,1,1,87,3
601,1,1,44,4
602,1,1,56,5
603,1,1,9,6
604,1,1,5,7
605,1,1,25,8
606,1,1,34,9
607,1,1,38,11
608,1,1,451,12
609,1,1,21,13
610,1,1,74,14
611,1,1,105,15
612,1,1,10,16
613,1,1,45,17
614,1,1,18,19
615,1,1,164,20
616,1,1,15,21
617,1,1,109,22
618,1,1,99,23
619,1,1,94,24
620,1,1,354,25
621,1,1,50,27
622,1,1,149,28
623,1,1,32,30
624,1,1,7,31
625,1,1,280,33
626,1,1,176,34
627,1,1,303,35
628,1,1,65,36
629,1,1,29,37
630,1,1,40,39
631,1,1,66,40
632,1,1,74,41
633,1,1,49,42
634,1,1,126,43
635,1,1,85,44
636,1,1,3,45
637,1,1,354,46
638,1,1,16,47
639,1,1,68,48
640,1,1,21,49
641,1,1,30,50
642,1,1,160,51
643,1,1,2,52
644,1,1,107,53
645,1,1,548,54
646,1,1,15,55
647,1,1,60,56
648,1,1,563,57
649,1,1,38,58
650,1,1,199,59
651,1,1,174,61
652,1,1,36,62
653,1,1,22,63
654,1,1,99,65
655,1,1,19,66
656,1,1,68,67
657,1,1,15,69
658,1,1,10,70
659,1,1,75,72
660,1,1,28,73
661,1,1,235,74
662,1,1,135,76
663,1,1,242,77
664,1,6,721,0
665,1,6,129,1
666,1,6,66,2
667,1,6,56,3
668,1,6,51,4
669,1,6,113,5
670,1,6,13,6
671,1,6,90,7
672,1,6,58,8
673,1,6,109,9
674,1,6,31,10
675,1,6,83,11
676,1,6,300,12
677,1,6,17,13
678,1,6,86,14
679,1,6,148,15
680,1,6,48,16
681,1,6,42,17
682,1,6,48,18
683,1,6,89,19
684,1,6,164,20
685,1,6,38,21
686,1,6,101,22
687,1,6,86,23
688,1,6,55,24
689,1,6,227,25
690,1,6,18,26
691,1,6,51,27
692,1,6,203,28
693,1,6,125,29
694,1,6,53,30
695,1,6,23,31
696,1,6,14,32
697,1,6,129,33
698,1,6,73,34
699,1,6,120,35
700,1,6,54,36
701,1,6,32,37
702,1,6,23,38
703,1,6,42,39
704,1,6,53,40
705,1,6,51,41
706,1,6,63,42
707,1,6,156,43
708,1,6,59,44
709,1,6,17,45
710,1,6,297,46
711,1,6,19,47
712,1,6,71,48
713,1,6,12,49
714,1,6,42,50
715,1,6,180,51
716,1,6,15,52
717,1,6,84,53
718,1,6,451,54
719,1,6,30,55
720,1,6,27,56
721,1,6,415,57
722,1,6,22,58
723,1,6,237,59
724,1,6,26,60
725,1,6,179,61
726,1,6,22,62
727,1,6,30,63
728,1,6,36,64
729,1,6,128,65
730,1,6,16,66
731,1,6,55,67
732,1,6,11,68
733,1,6,18,69
734,1,6,11,70
735,1,6,36,71
736,1,6,93,72
737,1,6,18,73
738,1,6,220,74
739,1,6,37,75
740,1,6,94,76
741,1,6,244,77
742,1,7,438,0
743,1,7,10,1
744,1,7,18,2
745,1,7,34,3
746,1,7,18,4
747,1,7,63,5
748,1,7,38,6
749,1,7,25,7
750,1,7,38,8
751,1,7,70,9
752,1,7,15,10
753,1,7,13,11
754,1,7,164,12
755,1,7,17,13
756,1,7,89,14
757,1,7,122,15
758,1,7,31,16
759,1,7,27,17
760,1,7,33,18
761,1,7,49,19
762,1,7,102,20
763,1,7,31,21
764,1,7,87,22
765,1,7,100,23
766,1,7,65,24
767,1,7,113,25
768,1,7,2,26
769,1,7,10,27
770,1,7,175,28
771,1,7,93,29
772,1,7,35,30
773,1,7,21,31
774,1,7,12,32
775,1,7,89,33
776,1,7,21,34
777,1,7,24,35
778,1,7,20,36
779,1,7,41,37
780,1,7,24,38
781,1,7,23,39
782,1,7,45,40
783,1,7,39,41
784,1,7,49,42
785,1,7,111,43
786,1,7,9,45
787,1,7,174,46
788,1,7,15,47
789,1,7,50,48
790,1,7,30,49
791,1,7,4,50
792,1,7,188,51
793,1,7,11,52
794,1,7,84,53
795,1,7,386,54
796,1,7,278,57
797,1,7,23,58
798,1,7,205,59
799,1,7,13,60
800,1,7,90,61
801,1,7,30,63
802,1,7,45,64
803,1,7,45,65
804,1,7,3,66
805,1,7,11,67
806,1,7,20,68
807,1,7,27,69
808,1,7,19,70
809,1,7,33,71
810,1,7,90,72
811,1,7,21,73
812,1,7,191,74
813,1,7,18,75
814,1,7,98,76
815,1,7,132,77
816,1,4,308,0
817,1,4,68,1
818,1,4,62,2
819,1,4,63,3
820,1,4,12,4
821,1,4,44,5
822,1,4,4,7
823,1,4,26,8
824,1,4,20,9
825,1,4,12,10
826,1,4,20,11
827,1,4,201,12
828,1,4,4,13
829,1,4,40,14
830,1,4,43,15
831,1,4,48,16
832,1,4,32,17
833,1,4,42,18
834,1,4,45,19
835,1,4,108,20
836,1,4,19,21
837,1,4,59,22
838,1,4,42,23
839,1,4,28,24
840,1,4,221,25
841,1,4,2,26
842,1,4,27,27
843,1,4,56,28
844,1,4,83,29
845,1,4,7,31
846,1,4,9,32
847,1,4,186,33
848,1,4,122,34
849,1,4,206,35
850,1,4,85,36
851,1,4,12,37
852,1,4,19,38
853,1,4,37,39
854,1,4,34,40
855,1,4,77,41
856,1,4,33,42
857,1,4,95,43
858,1,4,78,44
859,1,4,3,45
860,1,4,363,46
861,1,4,19,47
862,1,4,54,48
863,1,4,19,49
864,1,4,26,50
865,1,4,141,51
866,1,4,4,52
867,1,4,37,53
868,1,4,362,54
869,1,4,28,55
870,1,4,40,56
871,1,4,318,57
872,1,4,10,58
873,1,4,183,59
874,1,4,22,60
875,1,4,163,61
876,1,4,25,62
877,1,4,11,63
878,1,4,32,64
879,1,4,96,65
880,1,4,15,66
881,1,4,31,67
882,1,4,10,68
883,1,4,2,69
884,1,4,8,70
885,1,4,11,71
886,1,4,65,72
887,1,4,17,73
888,1,4,136,74
889,1,4,16,75
890,1,4,89,76
891,1,4,139,77
892,1,2,250,0
893,1,2,72,1
894,1,2,52,2
895,1,2,10,3
896,1,2,45,5
897,1,2,5,6
898,1,2,11,7
899,1,2,48,8
900,1,2,63,9
901,1,2,27,10
902,1,2,42,11
903,1,2,192,12
904,1,2,7,13
905,1,2,23,14
906,1,2,37,15
907,1,2,2,16
908,1,2,19,17
909,1,2,52,18
