,visit_date,air_area_name,air_genre_name,air_store_id,visitors,latitude,longitude,day_of_week,holiday_flg,visit_date2
3,1/1/2016,Fukuoka-ken Fukuoka-shi Daimyō,Izakaya,50,33,33.589215700000004,130.3928134,Friday,1,2016-01-01
23357,1/6/2016,Fukuoka-ken Fukuoka-shi Daimyō,Izakaya,50,17,33.589215700000004,130.3928134,Wednesday,0,2016-01-06
24327,1/7/2016,Fukuoka-ken Fukuoka-shi Daimyō,Izakaya,50,15,33.589215700000004,130.3928134,Thursday,0,2016-01-07
25328,1/8/2016,Fukuoka-ken Fukuoka-shi Daimyō,Izakaya,50,31,33.589215700000004,130.3928134,Friday,0,2016-01-08
26216,1/9/2016,Fukuoka-ken Fukuoka-shi Daimyō,Izakaya,50,22,33.589215700000004,130.3928134,Saturday,0,2016-01-09
216,1/10/2016,Fukuoka-ken Fukuoka-shi Daimyō,Izakaya,50,55,33.589215700000004,130.3928134,Sunday,0,2016-01-10
1101,1/11/2016,Fukuoka-ken Fukuoka-shi Daimyō,Izakaya,50,36,33.589215700000004,130.3928134,Monday,1,2016-01-11
1997,1/12/2016,Fukuoka-ken Fukuoka-shi Daimyō,Izakaya,50,54,33.589215700000004,130.3928134,Tuesday,0,2016-01-12
2972,1/13/2016,Fukuoka-ken Fukuoka-shi Daimyō,Izakaya,50,18,33.589215700000004,130.3928134,Wednesday,0,2016-01-13
4010,1/14/2016,Fukuoka-ken Fukuoka-shi Daimyō,Izakaya,50,22,33.589215700000004,130.3928134,Thursday,0,2016-01-14
5053,1/15/2016,Fukuoka-ken Fukuoka-shi Daimyō,Izakaya,50,18,33.589215700000004,130.3928134,Friday,0,2016-01-15
5929,1/16/2016,Fukuoka-ken Fukuoka-shi Daimyō,Izakaya,50,51,33.589215700000004,130.3928134,Saturday,0,2016-01-16
6857,1/17/2016,Fukuoka-ken Fukuoka-shi Daimyō,Izakaya,50,27,33.589215700000004,130.3928134,Sunday,0,2016-01-17
7765,1/18/2016,Fukuoka-ken Fukuoka-shi Daimyō,Izakaya,50,14,33.589215700000004,130.3928134,Monday,0,2016-01-18
8700,1/19/2016,Fukuoka-ken Fukuoka-shi Daimyō,Izakaya,50,24,33.589215700000004,130.3928134,Tuesday,0,2016-01-19
9972,1/20/2016,Fukuoka-ken Fukuoka-shi Daimyō,Izakaya,50,14,33.589215700000004,130.3928134,Wednesday,0,2016-01-20
11016,1/21/2016,Fukuoka-ken Fukuoka-shi Daimyō,Izakaya,50,17,33.589215700000004,130.3928134,Thursday,0,2016-01-21
12057,1/22/2016,Fukuoka-ken Fukuoka-shi Daimyō,Izakaya,50,50,33.589215700000004,130.3928134,Friday,0,2016-01-22
12949,1/23/2016,Fukuoka-ken Fukuoka-shi Daimyō,Izakaya,50,27,33.589215700000004,130.3928134,Saturday,0,2016-01-23
13867,1/24/2016,Fukuoka-ken Fukuoka-shi Daimyō,Izakaya,50,22,33.589215700000004,130.3928134,Sunday,0,2016-01-24
