,Unnamed: 0,air_area_name,genre_name,visitors,current_week,latitude,longitude
0,0,Tōkyō-to Minato-ku Shibakōen,Japanese food,2069,0,35.6580681,139.7515992
1,1,Tōkyō-to Minato-ku Shibakōen,Japanese food,2092,1,35.6580681,139.7515992
2,2,Tōkyō-to Minato-ku Shibakōen,Japanese food,2095,2,35.6580681,139.7515992
3,3,Tōkyō-to Minato-ku Shibakōen,Japanese food,1999,3,35.6580681,139.7515992
4,4,Tōkyō-to Minato-ku Shibakōen,Japanese food,1983,4,35.6580681,139.7515992
5,5,Tōkyō-to Minato-ku Shibakōen,Japanese food,2127,5,35.6580681,139.7515992
6,6,Tōkyō-to Minato-ku Shibakōen,Japanese food,2118,6,35.6580681,139.7515992
7,7,Tōkyō-to Minato-ku Shibakōen,Japanese food,2085,7,35.6580681,139.7515992
8,8,Tōkyō-to Minato-ku Shibakōen,Japanese food,2121,8,35.6580681,139.7515992
9,9,Tōkyō-to Minato-ku Shibakōen,Japanese food,2157,9,35.6580681,139.7515992
10,10,Tōkyō-to Minato-ku Shibakōen,Japanese food,2295,10,35.6580681,139.7515992
11,11,Tōkyō-to Minato-ku Shibakōen,Japanese food,2047,11,35.6580681,139.7515992
12,12,Tōkyō-to Minato-ku Shibakōen,Japanese food,2140,12,35.6580681,139.7515992
13,13,Tōkyō-to Minato-ku Shibakōen,Japanese food,2257,13,35.6580681,139.7515992
14,14,Tōkyō-to Minato-ku Shibakōen,Japanese food,2084,14,35.6580681,139.7515992
15,15,Tōkyō-to Minato-ku Shibakōen,Japanese food,1726,15,35.6580681,139.7515992
16,16,Tōkyō-to Minato-ku Shibakōen,Japanese food,1992,16,35.6580681,139.7515992
17,17,Tōkyō-to Minato-ku Shibakōen,Japanese food,2068,17,35.6580681,139.7515992
18,18,Tōkyō-to Minato-ku Shibakōen,Japanese food,2103,18,35.6580681,139.7515992
19,19,Tōkyō-to Minato-ku Shibakōen,Japanese food,1967,19,35.6580681,139.7515992
20,20,Tōkyō-to Minato-ku Shibakōen,Japanese food,2043,20,35.6580681,139.7515992
21,21,Tōkyō-to Minato-ku Shibakōen,Japanese food,2068,21,35.6580681,139.7515992
22,22,Tōkyō-to Minato-ku Shibakōen,Japanese food,2078,22,35.6580681,139.7515992
23,23,Tōkyō-to Minato-ku Shibakōen,Japanese food,4117,23,35.6580681,139.7515992
24,24,Tōkyō-to Minato-ku Shibakōen,Japanese food,6228,24,35.6580681,139.7515992
25,25,Tōkyō-to Minato-ku Shibakōen,Japanese food,5634,25,35.6580681,139.7515992
26,26,Tōkyō-to Minato-ku Shibakōen,Japanese food,5377,26,35.6580681,139.7515992
27,27,Tōkyō-to Minato-ku Shibakōen,Japanese food,6199,27,35.6580681,139.7515992
28,28,Tōkyō-to Minato-ku Shibakōen,Japanese food,6127,28,35.6580681,139.7515992
